cluster_id,split,court_group,has_positive,gold_grouping,verified,n_final_pairs,n_positive_pairs
111252,unused,SCOTUS,1,0,0,100,1
111254,unused,SCOTUS,1,0,0,43,2
111256,unused,SCOTUS,0,0,0,71,0
111308,unused,SCOTUS,1,0,0,63,1
111375,unused,SCOTUS,1,0,0,43,3
111442,unused,SCOTUS,1,0,0,33,2
111517,unused,SCOTUS,1,0,0,46,1
111597,unused,SCOTUS,1,0,0,31,2
111672,unused,SCOTUS,1,0,0,16,1
112076,unused,SCOTUS,1,0,0,20,1
112115,unused,SCOTUS,1,0,0,23,1
112121,unused,SCOTUS,1,0,0,44,2
112144,unused,SCOTUS,1,0,0,38,2
112227,unused,SCOTUS,1,0,0,28,1
112271,unused,SCOTUS,1,0,0,33,1
112391,unused,SCOTUS,0,0,0,14,0
112589,unused,SCOTUS,1,0,0,4,4
112786,unused,SCOTUS,1,0,0,96,1
112890,unused,SCOTUS,1,0,0,76,1
117892,unused,SCOTUS,1,0,0,52,5
117905,unused,SCOTUS,1,0,0,49,3
117927,unused,SCOTUS,1,0,0,104,5
117935,unused,SCOTUS,1,0,0,76,2
117956,unused,SCOTUS,1,0,0,28,3
117966,unused,SCOTUS,1,0,0,50,2
118042,unused,SCOTUS,1,0,0,20,1
118076,unused,SCOTUS,1,0,0,33,1
118111,unused,SCOTUS,1,0,0,131,7
118228,unused,SCOTUS,1,0,0,18,2
118310,unused,SCOTUS,1,0,0,33,1
118317,unused,SCOTUS,1,0,0,47,4
1087607,unused,SCOTUS,1,0,0,107,1
1116658,unused,SCOTUS,1,0,0,64,1
1447641,unused,SCOTUS,1,0,0,17,1
2518018,unused,SCOTUS,0,0,0,0,0
2528498,unused,SCOTUS,1,0,0,64,3
2540705,unused,SCOTUS,1,0,0,43,7
2620779,unused,SCOTUS,0,1,1,1,0
2621048,unused,SCOTUS,1,0,0,36,4
2764185,unused,SCOTUS,1,0,0,38,1
4591917,unused,SCOTUS,0,1,1,8,0
4729777,unused,SCOTUS,1,0,0,49,6
4879558,unused,SCOTUS,1,0,0,17,1
1099179,unused,STATE,0,0,0,10,0
1212124,unused,STATE,0,0,0,0,0
1265071,unused,STATE,0,0,0,15,0
1368933,unused,STATE,0,0,0,18,0
1438803,unused,STATE,1,0,0,6,1
1477224,unused,STATE,0,0,0,0,0
1540576,unused,STATE,1,0,0,2,2
1540666,unused,STATE,0,0,0,0,0
1556061,unused,STATE,0,0,0,17,0
1567734,unused,STATE,0,0,0,15,0
1582039,unused,STATE,0,0,0,25,0
1690078,unused,STATE,1,0,0,11,2
1741128,unused,STATE,0,0,0,16,0
1748756,unused,STATE,0,0,0,5,0
1801425,unused,STATE,1,0,0,15,1
1841205,unused,STATE,1,0,0,15,2
1881512,unused,STATE,1,0,0,15,1
1894469,unused,STATE,0,0,0,8,0
1941010,unused,STATE,0,0,0,8,0
1944844,unused,STATE,0,0,0,11,0
2055749,unused,STATE,0,0,0,14,0
2221238,unused,STATE,0,0,0,26,0
2233552,unused,STATE,0,0,0,9,0
2308579,unused,STATE,1,0,0,9,1
4237672,unused,STATE,0,0,0,16,0
4922504,unused,STATE,1,0,0,10,1
4993281,unused,STATE,0,0,0,28,0
4994041,unused,STATE,0,0,0,0,0
4995263,unused,STATE,1,0,0,16,1
5008354,unused,STATE,0,0,0,18,0
5012529,unused,STATE,0,0,0,16,0
5015202,unused,STATE,0,0,0,23,0
5016737,unused,STATE,0,0,0,18,0
5022574,unused,STATE,1,0,0,14,1
5024239,unused,STATE,0,0,0,7,0
5024324,unused,STATE,0,0,0,10,0
5039082,unused,STATE,0,0,0,22,0
5051615,unused,STATE,0,0,0,11,0
5059841,unused,STATE,0,0,0,6,0
5337528,unused,STATE,0,0,0,8,0
5338560,unused,STATE,0,0,0,10,0
5338832,unused,STATE,0,0,0,8,0
5529298,unused,STATE,0,0,0,8,0
5802655,unused,STATE,0,0,0,54,0
6095178,unused,STATE,0,0,0,9,0
6119149,unused,STATE,0,0,0,15,0
6290120,unused,STATE,0,0,0,0,0
6290349,unused,STATE,0,0,0,11,0
6290420,unused,STATE,1,0,0,3,1
6290488,unused,STATE,0,0,0,15,0
6290557,unused,STATE,0,0,0,8,0
6290654,unused,STATE,0,0,0,11,0
6292777,unused,STATE,0,0,0,0,0
6293032,unused,STATE,0,0,0,9,0
6297560,unused,STATE,0,0,0,0,0
6300174,unused,STATE,0,0,0,6,0
6306430,unused,STATE,1,0,0,25,2
6313911,unused,STATE,0,0,0,14,0
6315597,unused,STATE,0,0,0,7,0
6315996,unused,STATE,0,0,0,13,0
6322035,unused,STATE,0,0,0,5,0
6322569,unused,STATE,0,0,0,10,0
7649806,unused,STATE,0,0,0,5,0
7654902,unused,STATE,0,0,0,9,0
7674868,unused,STATE,0,0,0,14,0
7699758,unused,STATE,0,0,0,0,0
7699759,unused,STATE,1,0,0,8,1
7701301,unused,STATE,0,0,0,0,0
7713030,unused,STATE,0,0,0,12,0
7713031,unused,STATE,0,0,0,19,0
7779498,unused,STATE,1,0,0,25,1
7820992,unused,STATE,0,0,0,9,0
7844916,unused,STATE,0,0,0,11,0
8035242,unused,STATE,0,0,0,8,0
8245424,unused,STATE,0,0,0,0,0
8665422,unused,STATE,0,0,0,17,0
8666932,unused,STATE,0,0,0,4,0
9382158,unused,STATE,0,0,0,11,0
10146137,unused,STATE,0,0,0,7,0
10146738,unused,STATE,0,0,0,14,0
10340252,unused,STATE,0,0,0,11,0
10610182,unused,STATE,0,0,0,20,0
10610427,unused,STATE,0,0,0,13,0
10610761,unused,STATE,0,0,0,19,0
10611237,unused,STATE,0,0,0,7,0
10611581,unused,STATE,0,0,0,9,0
10612381,unused,STATE,0,0,0,13,0
