"case_id","case_name","case_status","case_state","court_name","case_type","case_ongoing","case_special_collections","case_causes_of_action","case_issues"
45881,"Timpa v. Dillard","Coding Complete","Texas","Northern District of Texas","Policing","No",NULL,"42 U.S.C. § 1983, State law","Mental Illness, Unspecified, Excessive force, Failure to supervise, Improper treatment of mentally ill suspects, False arrest"
12562,"Gomez-Garcia v. New York City Police Dep't","Approved","New York","New York state trial court","Policing","No reason to think so",NULL,"State law","Search policies, Over/Unlawful Detention (facilities), Failure to train, False arrest, Pattern or Practice"
9733,"United States v. Santa Fe County","Approved","New Mexico","District of New Mexico","Jail Conditions","No","Multi-LexSum (in sample)","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Suicide prevention (facilities), Staff (number, training, qualifications, wages), Food service / nutrition / hydration, Sanitation / living conditions, Fire safety, Access to lawyers or judicial system, Sexual abuse by residents/inmates, Medical care, general, Medication, administration of, Mental health care, general, Suicide prevention, Vision care, Tuberculosis, Conditions of confinement, Sex w/ staff; sexual harassment by staff, Male, Female, Bathing and hygiene, Hepatitis, Assault/abuse by non-staff (facilities)"
17688,"Nio v. United States Department of Homeland Security","Approved","District of Columbia","District of District of Columbia","Immigration and/or the Border","Yes","Multi-LexSum (in sample)","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Immigration and Nationality Act (INA), 8 U.S.C. §§ 1101 et seq., Declaratory Judgment Act, 28 U.S.C. § 2201, Mandamus, 28 U.S.C. § 1361","U.S. citizenship - acquiring"
693,"Gibson v. McEvers","Approved","Illinois","Central District of Illinois","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Disciplinary procedures, Medical care, general, Law library access, Race discrimination, Male, Medical Exam / Inquiry, Discipline, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.)"
10135,"Pierce v. Metropolitan Property and Liability Insurance","Coding Complete","Ohio","Southern District of Ohio","Fair Housing/Lending/Insurance","No reason to think so",NULL,"42 U.S.C. § 1981, Fair Housing Act/Fair Housing Amendments Act (FHAA), 42 U.S.C. §§ 3601 et seq., 42 U.S.C. § 1982","Race discrimination, Black, Insurance"
14215,"Jeremy M. v. Giuliani","Coding Complete","New York","Southern District of New York","Child Welfare","No",NULL,NULL,"Family abuse and neglect, Foster care (benefits, training), Juveniles, Parents (visitation, involvement), Youth / Adult separation, Family discrimination"
8914,"EEOC v. Pal-Waukee Aviation, Inc.","Coding Complete","Illinois","Northern District of Illinois","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits, Private Party intervened in EEOC suit"
14213,"Prison Legal News v. The GEO Group","Approved","Indiana","Southern District of Indiana","Prison Conditions","No","Prison Legal News, Multi-LexSum (in sample)","42 U.S.C. § 1983","Mail"
18156,"D.P. v. School Board of Palm Beach County","Approved","Florida","Southern District of Florida","Disability Rights","No",NULL,"42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, State law, Ex parte Young (federal or state officials)","Juveniles, Mental Illness, Unspecified, Intellectual/Developmental Disability, Race discrimination, Disability (inc. reasonable accommodations), Education, Black, Mental impairment, Confinement/isolation, Autism"
18119,"El Ali v. Barr (Jardaneh v. Barr)","Approved","Maryland","District of Maryland","National Security","Yes",NULL,"Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Ex Parte Young (Federal) or Bivens, Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Ex parte Young (federal or state officials)","Classification / placement, Search policies, Arab/Afgani/Middle Eastern, Terrorism/Post 9-11 issues, Language discrimination, Status/Classification, Arabic, Immigration status, Religious programs / policies, Race discrimination, Racial profiling, National origin discrimination, Religion discrimination, Disparate Treatment, Watchlist"
9738,"Sanchez v. Placer County","Coding Complete","California","Eastern District of California","Jail Conditions","No","Strip Search Cases, Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Search policies, Strip search policy (facilities), Female"
11713,"Benjamin H. v. Walker","Approved","West Virginia","Southern District of West Virginia","Public Benefits/Government Services","No","Olmstead Cases","42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Medicaid"
13456,"Craig v. Indep. Sch. Dist. No. 56","Coding Complete","Oklahoma","Western District of Oklahoma","Education","No",NULL,"42 U.S.C. § 1983, Title IX of the Education Amendments of 1972, 20 U.S.C. §§ 1681 et seq.","Funding, Sex discrimination, Female, Sports"
10653,"Evans v. Atwood","Approved","District of Columbia","District of District of Columbia","Equal Employment","No","Private Employment Class Actions","Age Discrimination in Employment Act (ADEA), 29 U.S.C. §§ 621 et seq.","Age discrimination, Disparate Impact, Disparate Treatment, Discharge / Constructive Discharge / Layoff"
18554,"Harrison v. Young","Approved","Texas","Northern District of Texas","Disability Rights","No",NULL,"42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Disability, unspecified"
5692,"EEOC v. Tucker Plumbing","Coding Complete","Arizona","District of Arizona","Equal Employment","No","EEOC Study — in sample","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Disability (inc. reasonable accommodations), Disparate Treatment, Accommodation / Leave, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Private Party intervened in EEOC suit"
5770,"EEOC v. TARGET STORES, INC.","Coding Complete","Minnesota","District of Minnesota","Equal Employment","No","EEOC Study — in sample","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Disability (inc. reasonable accommodations), Disparate Treatment, Accommodation / Leave, Direct Suit on Merits, Private Party intervened in EEOC suit"
17307,"Schroeder v. Minn. Secretary of State","Approved","Minnesota","Minnesota state trial court","Election/Voting Rights","No",NULL,"State law","Election administration, Voter qualifications, Voter registration rules"
8960,"EEOC v. NATIONAL RESTAURANT ENTERPRISES D/B/A AMERIKING CORPORATION","Coding Complete","Virginia","Eastern District of Virginia","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
12389,"Felix v. Lingle","Coding Complete","Hawaii","District of Hawaii","Child Welfare","No","Olmstead Cases","Indv. w/ Disab. Educ. Act (IDEA), Educ. of All Handcpd. Children Act , 20 U.S.C. § 1400, Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Integrated setting, Juveniles, Neglect by staff, Placement in mental health facilities, Medical care, general, Mental health care, general, Intellectual disability/mental illness dual diagnosis, Disability, unspecified, Mental Illness, Unspecified, Medical care, unspecified, Mental health care, unspecified, Intellectual/Developmental Disability, Disability (inc. reasonable accommodations), Education, Male, Female, Mental impairment, Special education, Schizophrenia, Autism, Developmental disability without intellectual disability, Intellectual/developmental disability, unspecified, Depression, Learning disability, Access to public accommodations - governmental, Reasonable Accommodations, Government services, School/University Facilities"
8582,"EEOC v. The Denver Publishing Company, d/b/a The Rocky Mountain News,","Coding Complete","Colorado","District of Colorado","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Black, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits, Private Party intervened in EEOC suit"
16284,"City of Pleasant Grove v. United States","Approved","District of Columbia","District of District of Columbia","Election/Voting Rights","No","Civil Rights Division Archival Collection","Voting Rights Act, section 5, 52 U.S.C. § 10304 (previously 42 U.S.C. § 1973c)","Black, Redistricting/district composition, Vote dilution, Voting: General & Misc."
9739,"Schaffer v. Alameda County","Approved","California","Northern District of California","Jail Conditions","Yes","Strip Search Cases, Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Search policies, Strip search policy (facilities), Male, Female"
8584,"EEOC v. V&J FOODS INC","Approved","Wisconsin","Eastern District of Wisconsin","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Retaliation, Disparate Treatment, Pattern or Practice, Harassment / Hostile Work Environment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
9743,"Todd v. Solano County","Approved","California","Eastern District of California","Jail Conditions","No","Strip Search Cases, Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Disciplinary procedures, Search policies, Strip search policy (facilities), Male, Female"
9746,"Williams v. County of Los Angeles","Coding Complete","California","Central District of California","Jail Conditions","No",NULL,"42 U.S.C. § 1983, State law","Over/Unlawful Detention (facilities), Grievance procedures, Male, Female"
9165,"EEOC v. UNITED GOVERNMENT SERVICES","Coding Complete","Michigan","Eastern District of Michigan","Equal Employment","No","EEOC Study — in sample","Age Discrimination in Employment Act (ADEA), 29 U.S.C. §§ 621 et seq.","Age discrimination, Disparate Treatment, Hiring, Direct Suit on Merits"
18553,"E.T. v. Governor Greg Abbott","Coding Complete","Texas","Western District of Texas","Disability Rights","No","COVID-19 (novel coronavirus)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Disability, unspecified, Disability (inc. reasonable accommodations), Education, Population-Medically vulnerable"
9768,"Brecher v. St. Croix County, Wisconsin","Coding Complete","Wisconsin","Western District of Wisconsin","Jail Conditions","No","Strip Search Cases","42 U.S.C. § 1983","Search policies, Strip search policy (facilities), Male, Female"
9771,"Coalition to Defend Affirmative Action, Integration and Immigrant Rights and Fight for Equality by any Means Necessary (BAMN) v. Granholm","Approved","Michigan","Eastern District of Michigan","Education","No","Multi-LexSum (in sample)","42 U.S.C. § 1983","Sex discrimination, Race discrimination, Black, Female, National origin discrimination"
11638,"Rolland v. Romney","Approved","Massachusetts","District of Massachusetts","Public Benefits/Government Services","No","Olmstead Cases","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Medicaid, 42 U.S.C §1396 (Title XIX of the Social Security Act)","Medicaid"
5584,"EEOC v. PAPILLON SALONS & COMPANY, INC.","Coding Complete","New York","Eastern District of New York","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Age Discrimination in Employment Act (ADEA), 29 U.S.C. §§ 621 et seq.","Age discrimination, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
5786,"EEOC v. COMMONWEALTH LAND TITLE INSURANCE COMPANY","Coding Complete","California","Central District of California","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits, Private Party intervened in EEOC suit"
6969,"EEOC v. UNITED AIRLINES","Coding Complete","Illinois","Northern District of Illinois","Equal Employment","No","IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Race discrimination, Black, Female, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
9781,"U.S. v. Mississippi","Approved","Mississippi","Southern District of Mississippi","Juvenile Institution","No","Multi-LexSum (in sample)","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq., Indv. w/ Disab. Educ. Act (IDEA), Educ. of All Handcpd. Children Act , 20 U.S.C. § 1400, Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Violent Crime and Law Enforcement Act, 34 U.S.C. § 12601 (previously 42 U.S.C. § 14141), Ex parte Young (federal or state officials)","Suicide prevention (facilities), Disciplinary segregation, Disciplinary procedures, Staff (number, training, qualifications, wages), Recreation / Exercise, Visiting, Mail, Fire safety, Access to lawyers or judicial system, Juveniles, Rehabilitation, Dental care, Medical care, general, Medication, administration of, Mental health care, general, Suicide prevention, Mental Illness, Unspecified, Over/Unlawful Detention (facilities), Grievance procedures, Religious programs / policies, Totality of conditions, Education, Restraints (chemical), Restraints (physical), Confinement/isolation, Special education, Learning disability, Pattern or Practice, Assault/abuse by staff (facilities)"
18256,"Ackerman v. Washington","Coding Complete","Michigan","Eastern District of Michigan","Prison Conditions","Yes",NULL,"42 U.S.C. § 1983, Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA)","Food service / nutrition / hydration, Religious programs / policies, Religion discrimination"
9784,"McBean v. City of New York","Approved","New York","Southern District of New York","Jail Conditions","No","Strip Search Cases, Multi-LexSum (in sample)","42 U.S.C. § 1983","Strip search policy (facilities)"
5548,"U.S. v. Territory of the Virgin Islands","Approved","Virgin Islands","District Court of the Virgin Islands","Policing","Yes","Multi-LexSum (in sample)","Violent Crime and Law Enforcement Act, 34 U.S.C. § 12601 (previously 42 U.S.C. § 14141)","Excessive force, Failure to discipline, Failure to supervise, Failure to train, Inadequate citizen complaint investigations and procedures, Pattern or Practice"
12960,"Harris v. Millennium Hotel","Coding Complete","Alaska","Alaska state trial court","Public Benefits/Government Services","No","Same-Sex Marriage","State law","LGBTQ+, Social Security Retirement and Death Benefit, Public benefits (includes, e.g., in-state tuition, govt. jobs), Sexual orientation, Marriage, Female, Disparate Treatment, Government services"
17565,"Gottlieb v. Lamont","Approved","Connecticut","District of Connecticut","Election/Voting Rights","Yes","COVID-19 (novel coronavirus), Healthy Elections COVID litigation tracker, Multi-LexSum (in sample)","42 U.S.C. § 1983","Election administration, Voting: General & Misc."
5583,"EEOC v. PRAXAIR SURFACE TECHNOLOGIES, INC.","Coding Complete","Missouri","Western District of Missouri","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Promotion, Direct Suit on Merits"
9136,"EEOC v. MAGNETEK, INC.","Coding Complete","Tennessee","Western District of Tennessee","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Hiring, Direct Suit on Merits"
905,"Haynes v. State of Ohio","Approved","Ohio","Southern District of Ohio","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Recreation / Exercise, Religious programs / policies, Religion discrimination"
9865,"Wachtler v. County of Herkimer","Approved","New York","Northern District of New York","Jail Conditions","No","Strip Search Cases","42 U.S.C. § 1983","Access to lawyers or judicial system, Strip search policy (facilities), Over/Unlawful Detention (facilities), Male"
45697,"Puryear v. Dotson","Approved","Virginia","Eastern District of Virginia","Criminal Justice (Other)","Yes",NULL,"42 U.S.C. § 1983, State law","Placement in detention facilities, Over/Unlawful Detention (facilities), Conditions of confinement"
16298,"Government Accountability Project v. U.S. Department of Homeland Security","Coding Complete","District of Columbia","District of District of Columbia","Immigration and/or the Border","No","Trump Administration 1.0 & 2.0 FOIA cases, Multi-LexSum (in sample), Trump Administration 1.0: Challenges to the Government","Declaratory Judgment Act, 28 U.S.C. § 2201, FOIA (Freedom of Information Act), 5 U.S.C. § 552","Search policies, Record-keeping, Records Disclosure, Visas - criteria, Visas - procedures, Admission - criteria, Admission - procedure, Border police"
8185,"EEOC v. THE MELROSE HOTEL","Coding Complete","New York","Southern District of New York","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, National origin discrimination, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
12473,"United States v. Bank of America","Coding Complete","North Carolina","Western District of North Carolina","Fair Housing/Lending/Insurance","No","Multi-LexSum (in sample)","Fair Housing Act/Fair Housing Amendments Act (FHAA), 42 U.S.C. §§ 3601 et seq., Equal Credit Opportunity Act (ECOA), 15 U.S.C. § 1691","Disability, unspecified, SSDI, Disability (inc. reasonable accommodations), Lending, Pattern or Practice, Housing, Other Banking"
18426,"Michigan Protection and Advocacy Service v. Miller","Approved","Michigan","Western District of Michigan","Disability Rights","No",NULL,"Developmental Disabilities Assistance and Bill of Rights Act, 42 U.S.C. § 15001 et seq., Protection and Advocacy for Individuals with Mental Illness (PAIMI) Act, 42 U.S.C. § 10801","Disability, unspecified, Records Disclosure, P&A access authority, P&A Associational Standing"
10425,"United States v. New Jersey Department of Human Services","Coding Complete","New Jersey","District of New Jersey","Equal Employment","No",NULL,"Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Disparate Treatment, Hiring, Promotion"
9788,"Elmaghraby v. Ashcroft","Coding Complete","New York","Eastern District of New York","Immigration and/or the Border","No","Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Ex Parte Young (Federal) or Bivens, 42 U.S.C. § 1985, Federal Tort Claims Act (FTCA), 28 U.S.C. § 2674, Alien Tort Claims Act (ATCA), 28 U.S.C. §§ 1350","Terrorism/Post 9-11 issues, Conditions of confinement, Constitutional rights, Detention - conditions, Detention - criteria, Detention - procedures"
17447,"People ex rel. Stoughton o/b/o Little v. NYS Department of Corrections","Approved","New York","New York state trial court","Jail Conditions","No","COVID-19 (novel coronavirus)","State law","Sanitation / living conditions, Medical care, general, Conditions of confinement, Release Requested, Release Granted, Release Denied"
6441,"EEOC v. L'OSTERIA RESTAURANT","Coding Complete","Delaware","District of Delaware","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits"
9948,"Creamer v. Raffety","Coding Complete","Arizona","Arizona state trial court","Jail Conditions","No","Strip Search Cases","42 U.S.C. § 1983","Strip search policy (facilities), Male"
46061,"District of Columbia v. United States","Coding Complete","District of Columbia","District of District of Columbia","Environmental Justice","Yes",NULL,"State law","Petroleum and petroleum byproducts, Groundwater"
8535,"EEOC v. SEPHORA USA, LLC","Coding Complete","New York","Southern District of New York","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, National origin discrimination, Disparate Impact, Disparate Treatment, Direct Suit on Merits, Private Party intervened in EEOC suit"
9789,"Emma C. v. Eastin","Approved","California","Northern District of California","Education","Yes",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Indv. w/ Disab. Educ. Act (IDEA), Educ. of All Handcpd. Children Act , 20 U.S.C. § 1400, Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Staff (number, training, qualifications, wages), Funding, Individualized planning, Integrated setting, Juveniles, Least restrictive environment, Mental health care, general, Disability, unspecified, Disability (inc. reasonable accommodations), Restraints (physical), Special education, Test or device, Government services, Testing, School/University policies"
587,"Mayweathers v. Newland","Approved","California","Eastern District of California","Prison Conditions","No",NULL,"42 U.S.C. § 1983, Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA)","Disciplinary procedures, Religious programs / policies"
10192,"Thompson v. Overton","Coding Complete","Michigan","Eastern District of Michigan","Prison Conditions","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Male, Female, Hepatitis"
8953,"EEOC v. JLP, LLC d/b/a ""Jiffy Lube of Plainview""","Coding Complete","Texas","Northern District of Texas","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, Race discrimination, Black, National origin discrimination, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
