lower_court,count,first_case_num,cl_court_id,cl_court_name,manual,manual_type,auto_type,type
Supreme Court of Indiana,196,71S03-0205-CV-268,ind,Indiana Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Minnesota,196,C7-01-2181,minn,Supreme Court of Minnesota,0,,State Supreme,State Supreme
"Court of Appeal of California, Fourth Appellate District, Division Three",194,G030867,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
"Court of Appeals of Ohio, Cuyahoga County",186,81051,,,1,State Trial,#N/A,State Trial
Supreme Court of New Hampshire,185,2003-0590,nh,Supreme Court of New Hampshire,0,,State Supreme,State Supreme
Supreme Court of Nebraska,183,S-03-681,neb,Nebraska Supreme Court,0,,State Supreme,State Supreme
Commonwealth Court of Pennsylvania,178,545 C.D. 2002,pacommwct,Commonwealth Court of Pennsylvania,0,,State Appellate,State Appellate
Supreme Court of Texas,176,02-0244,tex,Texas Supreme Court,0,,State Supreme,State Supreme
Supreme Judicial Court of Maine,175,And-03-59,me,Supreme Judicial Court of Maine,0,,State Supreme,State Supreme
Supreme Court of New Jersey,171,A-16 September Term 2002,nj,Supreme Court of New Jersey,0,,State Supreme,State Supreme
"Court of Appeals of Texas, Second District",163,2-01-478-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
Court of Appeals of Kansas,161,"86, 774",kanctapp,Court of Appeals of Kansas,0,,State Appellate,State Appellate
"Appellate Division, Supreme Court of New York, Fourth Judicial Department",160,KA 02-00263,nyappdiv,The Four Departments of the Appellate Division,0,,State Appellate,State Appellate
"Court of Appeal of Louisiana, First Circuit",158,2001 KA 0214,lactapp,Louisiana Court of Appeal,1,,State Appellate,State Appellate
"Appellate Court of Illinois, Third District",157,03-01-1990,illappct,Appellate Court of Illinois,1,,State Appellate,State Appellate
"Court of Appeals of Texas, Third District",154,03-02-00681-CV,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Court of Appeals of Arizona, Division Two",151,"2 CA-CR 1996-0168, 2 CA-CR 2000-0402-PR",arizctapp,Court of Appeals of Arizona,1,,State Appellate,State Appellate
"Court of Appeal of California, Fourth Appellate District",149,D039267,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Oregon,149,S49525,or,Oregon Supreme Court,0,,State Supreme,State Supreme
Supreme Court of North Dakota,148,20020267,nd,North Dakota Supreme Court,0,,State Supreme,State Supreme
"Appellate Division, Supreme Court of New York, Third Judicial Department",146,91820,nyappdiv,The Four Departments of the Appellate Division,0,,State Appellate,State Appellate
Court of Appeals of Mississippi,145,2002-CP-00309-COA,missctapp,Court of Appeals of Mississippi,0,,State Appellate,State Appellate
"Appellate Court of Illinois, Fifth District",145,05-01-0370,illappct,Appellate Court of Illinois,1,,State Appellate,State Appellate
"Court of Appeals of Texas, Fourth District",142,04-01-00226-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Court of Appeal of Louisiana, Fourth Circuit",140,2002-KA-1217,lactapp,Louisiana Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Idaho,135,28541,idaho,Idaho Supreme Court,0,,State Supreme,State Supreme
"Court of Appeals of Wisconsin, District I",128,03-1218-W,wisctapp,Court of Appeals of Wisconsin,1,,State Appellate,State Appellate
"Court of Appeals of Washington, Division 2",124,29538-5-II,washctapp,Court of Appeals of Washington,0,,State Appellate,State Appellate
"Court of Criminal Appeals of Tennessee, Western Division",119,W2003-00789-CCA-R28-PD,tenncrimapp,Court of Criminal Appeals of Tennessee,1,,State Appellate,State Appellate
"Court of Criminal Appeals of Tennessee, Middle Division",108,M2003-00968-CCA-R3-CO,tenncrimapp,Court of Criminal Appeals of Tennessee,1,,State Appellate,State Appellate
"Supreme Court of Pennsylvania, Western District",107,345 Capital Appeal Docket,pa,Supreme Court of Pennsylvania,1,,State Supreme,State Supreme
Court of Appeals of Utah,107,20020739-CA,utahctapp,Court of Appeals of Utah,0,,State Appellate,State Appellate
"Court of Criminal Appeals of Tennessee, Eastern Division",105,72987,tenncrimapp,Court of Criminal Appeals of Tennessee,1,,State Appellate,State Appellate
Supreme Court of Utah,103,20010673-SC,utah,Utah Supreme Court,0,,State Supreme,State Supreme
"Court of Appeals of Ohio, Franklin County",100,02AP-736,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Missouri, Western District",100,WD 61272,moctapp,Missouri Court of Appeals,1,,State Appellate,State Appellate
"Court of Appeals of Indiana, First District",96,23A01-0207-JV-267,indctapp,Indiana Court of Appeals,1,,State Appellate,State Appellate
Supreme Court of Iowa,95,99-1285,iowa,Supreme Court of Iowa,0,,State Supreme,State Supreme
Court of Appeals of South Carolina,94,2003-26-028,scctapp,Court of Appeals of South Carolina,0,,State Appellate,State Appellate
"Court of Appeals of Missouri, Eastern District",93,ED82145,moctapp,Missouri Court of Appeals,1,,State Appellate,State Appellate
Court of Appeals of New Mexico,93,23725,nmctapp,New Mexico Court of Appeals,0,,State Appellate,State Appellate
Supreme Court of Wyoming,91,"02-45, 02-46, 02-47",wyo,Wyoming Supreme Court,0,,State Supreme,State Supreme
"Court of Appeals of Texas, Seventh District",89,07-02-0183-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
Court of Appeals of Nebraska,88,A-03-001123,nebctapp,Nebraska Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeals of Texas, Ninth District",88,09-01-517CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
Supreme Court of South Dakota,88,22221,sd,Supreme Court of South Dakota,0,,State Supreme,State Supreme
Supreme Court of Oklahoma,87,"100, 425",okla,Supreme Court of Oklahoma,0,,State Supreme,State Supreme
"Court of Appeals of Washington, Division 3",86,21296-3-III,washctapp,Court of Appeals of Washington,0,,State Appellate,State Appellate
Supreme Court of Hawaii,84,24027,haw,Supreme Court of Hawaii,0,,State Supreme,State Supreme
"Supreme Court of Tennessee, Middle Division",84,M1998-00105-SC-DDT-DD,tenn,Tennessee Supreme Court,1,,State Supreme,State Supreme
Supreme Court of Alaska,82,"S-10091, S-10101",alaska,Alaska Supreme Court,0,,State Supreme,State Supreme
"Court of Appeals of Texas, Thirteenth District",81,13-01-00744-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Court of Appeals of Wisconsin, District II",80,03-1014-CR,wisctapp,Court of Appeals of Wisconsin,1,,State Appellate,State Appellate
Court of Appeals of Iowa,79,3-300/02-1353,iowactapp,Court of Appeals of Iowa,0,,State Appellate,State Appellate
"Court of Appeals of Texas, Tenth District",76,10-02-039-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Court of Appeals of Texas, Sixth District",76,06-02-00103-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Court of Appeals of Texas, Eleventh District",76,11-03-00030-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
Court of Civil Appeals of Alabama,76,2010679,alacivapp,Alabama Court of Civil Appeals,0,,State Appellate,State Appellate
"Court of Appeals of Wisconsin, District IV",75,01-0790-CR,wisctapp,Court of Appeals of Wisconsin,1,,State Appellate,State Appellate
"Court of Appeals of Ohio, Hamilton County",75,C-020698,,,1,State Trial,#N/A,State Trial
Supreme Court of Puerto Rico,74,CC-2000-144,prsupreme,Supreme Court of Puerto Rico,0,,Territory Supreme,Territory Supreme
"Court of Appeal of Louisiana, Second Circuit",74,"37, 244-KA",lactapp,Louisiana Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Vermont,73,338-6-02 OsCr,vt,Supreme Court of Vermont,0,,State Supreme,State Supreme
"Supreme Court of Tennessee, Western Division",73,W2000-02204-SC-DDT-DD,tenn,Tennessee Supreme Court,1,,State Supreme,State Supreme
Court of Appeals of Indiana,71,18A-PL-645,indctapp,Indiana Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeal of Louisiana, Third Circuit",70,03-461,lactapp,Louisiana Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Rhode Island,69,94-745-C.A.,ri,Supreme Court of Rhode Island,0,,State Supreme,State Supreme
"Superior Court of Georgia, Butts County",68,93-V-217,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Indiana, Second District",67,29A05-0301-CR-3,indctapp,Indiana Court of Appeals,1,,State Appellate,State Appellate
"Court of Appeals of Texas, Twelfth District",66,12-01-00374-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Supreme Court of Tennessee, Eastern Division",65,E2001-00604-SC-R11-CD,tenn,Tennessee Supreme Court,1,,State Supreme,State Supreme
"Court of Appeals of Tennessee, Middle Division",65,M2002-02871-COA-R3-CV,tennctapp,Court of Appeals of Tennessee,1,,State Appellate,State Appellate
"Court of Appeals of Texas, Eighth District",63,08-02-00269-CV,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Court of Appeal of Louisiana, Fifth Circuit",61,02KA334,lactapp,Louisiana Court of Appeal,1,,State Appellate,State Appellate
"Court of Appeals of Wisconsin, District III",60,02-2350-CR,wisctapp,Court of Appeals of Wisconsin,1,,State Appellate,State Appellate
United States District Court for the District of Columbia,59,04-1260,dcd,"District Court, District of Columbia",0,,Federal District,Federal District
Supreme Court of New Mexico,57,"27, 823",nm,New Mexico Supreme Court,0,,State Supreme,State Supreme
Intermediate Court of Appeals of Hawaii,57,24766,hawapp,Hawaii Intermediate Court of Appeals,0,,State Appellate,State Appellate
Court of Appeals of Arkansas,57,CA02-1072,arkctapp,Arkansas Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeals of Indiana, Third District",55,71A03-0212-CR-419,indctapp,Indiana Court of Appeals,1,,State Appellate,State Appellate
"Court of Appeals of Ohio, Summit County",50,15388,,,1,State Trial,#N/A,State Trial
Court of Appeals of Nevada,50,81765-COA,nevapp,Court of Appeals of Nevada,0,,State Appellate,State Appellate
"Superior Court of Arizona, Maricopa County",49,CR1987-005068,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Tennessee, Eastern Division",46,E2003-00330-COA-R3-CV,tennctapp,Court of Appeals of Tennessee,1,,State Appellate,State Appellate
"Court of Appeals of Ohio, Lucas County",44,L-01-1490,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Montgomery County",43,20111,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Missouri, Southern District",41,25243,moctapp,Missouri Court of Appeals,1,,State Appellate,State Appellate
Court of Appeals of Idaho,37,"23222, 24492",idahoctapp,Idaho Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeals of Indiana, Fourth District",35,49A04-0301-CR-37,indctapp,Indiana Court of Appeals,1,,State Appellate,State Appellate
Court of Appeals of Alaska,34,A-7762,alaskactapp,Alaska Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeals of Tennessee, Western Division",32,W2001-02822-COA-R3-CV,tennctapp,Court of Appeals of Tennessee,1,,State Appellate,State Appellate
"Court of Appeals of Ohio, Stark County",30,2002CA00125,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Indiana, Fifth District",29,SSA050201CR26,indctapp,Indiana Court of Appeals,1,,State Appellate,State Appellate
"Circuit Court of West Virginia, Kanawha County",28,02-C-1350,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Wayne County, Criminal Division",27,93-010422-01,,,1,State Trial,#N/A,State Trial
"Court of Civil Appeals of Oklahoma, Second Division",27,"98, 112, 98, 114",oklacivapp,Court of Civil Appeals of Oklahoma,1,,State Appellate,State Appellate
"Court of Civil Appeals of Oklahoma, Third Division",25,99565,oklacivapp,Court of Civil Appeals of Oklahoma,1,,State Appellate,State Appellate
"Court of Appeals of Ohio, Butler County",25,CA200109215,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Fulton County",23,2002CV63413,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Wayne County",22,"88-03080, 88-02394",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Trumbull County",22,2002-T-0086,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of Texas,21,SA-01-CA-1049-WWJ,txwd,"District Court, W.D. Texas",0,,Federal District,Federal District
"Court of Appeals of Ohio, Mahoning County",20,01 CA 229,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Lorain County",20,04CA008509,,,1,State Trial,#N/A,State Trial
United States District Court for the Eastern District of Texas,20,2:03-CV-354,txed,"District Court, E.D. Texas",0,,Federal District,Federal District
"Appellate Division, Supreme Court ofNew York, Second Judicial Department",20,1998-07404,nyappdiv,The Four Departments of the Appellate Division,0,,State Appellate,State Appellate
Supreme Court of the Virgin Islands,20,2017-0042,virginislands,Supreme Court of The Virgin Islands,0,,Territory Supreme,Territory Supreme
Supreme Court of Guam,19,CVA04-006,guam,Supreme Court of Guam,0,,Territory Supreme,Territory Supreme
"Court of Appeals of Ohio, Lake County",18,2001-L-101,,,1,State Trial,#N/A,State Trial
"Court of Civil Appeals of Oklahoma, First Division",17,"98, 379",oklacivapp,Court of Civil Appeals of Oklahoma,1,,State Appellate,State Appellate
Appellate Court of Maryland,16,"1839, September Term, 2023",md,Court of Appeals of Maryland,1,,State Supreme,State Supreme
"Court of Appeals of Ohio, Richland County",14,2003-CA-0117,,,1,State Trial,#N/A,State Trial
United States District Court for the Middle District of North Carolina,13,1:16-CV-1026,ncmd,"District Court, M.D. North Carolina",0,,Federal District,Federal District
Supreme Court of Maryland,13,"371, September Term, 2023",md,Court of Appeals of Maryland,0,,State Supreme,State Supreme
Court of Appeals of Virginia,13,2858-00-4,vactapp,Court of Appeals of Virginia,0,,State Appellate,State Appellate
"Appellate Division, Superior Court of California, County of Los Angeles",12,BR042724,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Forsyth County",12,"93CRS2145, 93CRS2482",,,1,State Trial,#N/A,State Trial
United States District Court for the Eastern District of Virginia,12,3:14cv852,vaed,"District Court, E.D. Virginia",0,,Federal District,Federal District
"Superior Court of Georgia, Tattnall County",11,2002-HC-56,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Oakland County",11,90-102799-FH,,,1,State Trial,#N/A,State Trial
"Appellate Division, Supreme Court ofNew York, Fourth Judicial Department",11,341,nyappdiv,The Four Departments of the Appellate Division,0,,State Appellate,State Appellate
United States District Court for the Central District of California,11,01-08477,cacd,United States District Court for the Central District of California,0,,Federal District,Federal District
United States District Court for the Northern District of Alabama,11,2:21-cv-1530,alnd,United States District Court for the Northern District of Alabama,0,,Federal District,Federal District
United States District Courts for the Eastern District and the Northern District of California,11,"CIV S-90-0520, C01-1351",,,1,,#N/A,Federal District
"District Court of Appeals of Florida, Sixth District",10,"6D2024-0641, 6D2024-0147",,,1,,#N/A,State Appellate
"Court of Civil Appeals of Oklahoma, Fourth Division",10,"98, 886",oklacivapp,Court of Civil Appeals of Oklahoma,1,,State Appellate,State Appellate
"Supreme Court of New York, New York County",10,2174/88,,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of Ohio,10,C2-01-1132,ohsd,"District Court, S.D. Ohio",0,,Federal District,Federal District
"Circuit Court of Maryland, Baltimore City",10,24-C-02-004449,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Bernalillo County",9,CR 94-1321,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Ohio County",9,01-C-145,,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of New York,9,"02 Civ. 618, 02 Civ. 3239",nysd,"District Court, S.D. New York",0,,Federal District,Federal District
"Circuit Court of Michigan, Genesee County",9,02-9621-FH,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Baltimore County",9,89 CR 3102,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Prince George's County",9,CAL05-14829,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Ingham County",9,01-93776-NZ,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Maryland,9,8:20-cv-02225-PX-PAH-ELH,mdd,"District Court, D. Maryland",0,,Federal District,Federal District
United States District Court for the Southern District of Mississippi,8,3:11cv159-TSL-EGJ-LG-MTP,mssd,"District Court, S.D. Mississippi",0,,Federal District,Federal District
United States District Court for the Middle District of Pennsylvania,8,1:CV-01-2439,pamd,"District Court, M.D. Pennsylvania",0,,Federal District,Federal District
"Court of Appeals of Ohio, Portage County",8,2002-P-0018,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Baldwin County",8,04CV38861,,,1,State Trial,#N/A,State Trial
United States District Court for the Eastern District of Michigan,8,01-72584-BC,mied,"District Court, E.D. Michigan",0,,Federal District,Federal District
United States District Court for the District of South Carolina,8,11-cv-03120-HFF-MBS-PMD,scd,"District Court, D. South Carolina",0,,Federal District,Federal District
"Superior Court of Georgia, Gwinnett County",8,04-A-00927-8,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Mitchell County",8,02-V-532,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Fairfield County",8,03-CA-97,,,1,State Trial,#N/A,State Trial
"Superior Court of Arizona, Pima County",7,CR-28657,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Muskingum County",7,CT2002-0037,,,1,State Trial,#N/A,State Trial
"Appellate Term of the Supreme Court of New York, 9th & 10th Jud. Dist.",7,2003-21 W CR,nyappterm,Appellate Terms of the Supreme Court of New York,0,,State Appellate,State Appellate
"Court of Appeals of Ohio, Geauga County",7,2015-G-0021,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Cabell County",7,01-F-115,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Raleigh County",7,02-C-873-H,,,1,State Trial,#N/A,State Trial
United States District Court for the Middle District of Alabama,7,2:05cv1100-MHT,almd,United States District Court for the Middle District of Alabama,0,,Federal District,Federal District
"Superior Court of Georgia, Habersham County",7,22CV0341,,,1,State Trial,#N/A,State Trial
