cited_cluster_id,cited_decision_name
5712559,Planters' Rice-Mill Co. v. Merchants' National Bank (1887)
3931352,Havens v. Bank of Tarboro (1903)
3607596,Pennsylvania Gas Co. v. Public Service Commission (1919)
3488586,West Virginia & Maryland Gas Co. v. Towers (1919)
99524,Pennsylvania Gas Co. v. Public Service Commission (1920)
101295,Sprout v. South Bend (1928)
1578327,Pullman Co. v. Richardson (1923)
101176,Atlantic Coast Line Railroad v. Standard Oil Co. of Kentucky (1927)
101497,New Jersey Bell Telephone Co. v. State Board of Taxes & Assessments (1930)
100442,Missouri Ex Rel. Barrett v. Kansas Natural Gas Co. (1924)
100987,Public Utilities Commission v. Attleboro Steam & Electric Co. (1927)
100829,Peoples Natural Gas Co. v. Public Service Commission (1926)
85534,Brown v. Maryland (1827)
92767,Leisy v. Hardin (1890)
99897,Gillespie v. Oklahoma (1922)
89542,Forbes v. Gracey (1877)
99943,Irwin v. Wright (1922)
101632,Willcutts v. Bunn (1931)
96768,Elder v. Wood (1908)
101762,Indian Motocycle Co. v. United States (1931)
101894,Burnet v. Coronado Oil & Gas Co. (1932)
99339,Union Oil Co. of Cal. v. Smith (1919)
92685,Wisconsin Central Railroad v. Price County (1890)
101648,Educational Films Corp. of America v. Ward (1931)
85777,Grant v. Raymond (1832)
101268,City of New Brunswick v. United States (1928)
85911,Wheaton and Donaldson v. Peters and Grigg (1834)
85272,M'culloch v. State of Maryland (1819)
96154,Baltimore Shipbuilding & Dry Dock Co. v. Baltimore (1904)
101154,Northwestern Mutual Life Insurance v. Wisconsin (1928)
101291,Long v. Rockwood (1928)
98481,Bothwell v. Bingham County (1915)
101272,Shaw v. Gibson-Zahniser Oil Corp. (1928)
87219,Kendall v. Winsor (1859)
86324,Carroll v. Safford (1845)
99638,Johnson v. Maryland (1920)
91588,Van Brocklin v. Tennessee (1886)
97614,Gromer v. Standard Dredging Co. (1912)
97103,Caliga v. Inter Ocean Newspaper Co. (1909)
94416,Central Pacific Railroad v. California (1896)
88789,Railroad Co. v. Peniston (1873)
87768,Witherspoon v. Duncan (1867)
96731,American Tobacco Co. v. Werckmeister (1907)
99040,Crew Levick Co. v. Pennsylvania (1917)
101731,Group No. 1 Oil Corp. v. Bass (1931)
101733,Susquehanna Power Co. v. State Tax Comm'n of Md. (No. 1) (1931)
96874,Globe Newspaper Co. v. Walker (1908)
99829,"Choctaw, Oklahoma & Gulf Railroad v. MacKey (1921)"
101371,"Exchange Trust Co. v. Drainage Dist. No. 7, Poinsett Cty. (1929)"
99196,United States Glue Co. v. Town of Oak Creek (1918)
3568583,"Reno Smelting, Milling & Reduction Works v. Stevenson (1889)"
93442,Benson v. United States (1892)
94828,Holden v. Hardy (1898)
93322,Logan v. United States (1892)
86700,United States v. Reid (1852)
91054,Hurtado v. California (1884)
101558,Patton v. United States (1930)
97335,Hendrix v. United States (1911)
99065,Rosen v. United States (1918)
99658,Jin Fuey Moy v. United States (1920)
100181,Adkins v. Children's Hospital of Columbia (1923)
102681,Morehead v. New York Ex Rel. Tipaldo (1936)
102224,Nebbia v. New York (1934)
97368,"Chicago, Burlington & Quincy Railroad v. McGuire (1911)"
101265,Black & White Taxicab & Transfer Co. v. Brown & Yellow Taxicab & Transfer Co. (1928)
93638,Baltimore & Ohio Railroad v. Baugh (1893)
4088490,Falchetti v. Pennsylvania R. R. (1932)
86188,Swift v. Tyson (1842)
88308,Collector v. Day (1871)
103047,Helvering v. Gerhardt (1938)
100771,Metcalf & Eddy v. Mitchell (1926)
102734,New York Ex Rel. Rogers v. Graves (1937)
86223,Dobbins v. Commissioners of Erie County (1842)
102783,Brush v. Commissioner (1937)
94174,Pollock v. Farmers' Loan & Trust Co. (1895)
3487033,Gordy v. Dennis (1939)
100693,Miles v. Graham (1925)
99610,Evans v. Gore (1920)
97661,Procter & Gamble Co. v. United States (1912)
101973,Alton Railroad v. United States (1932)
102669,United States v. Corrick (1936)
101012,United States v. Los Angeles & Salt Lake Railroad (1927)
96063,Interstate Commerce Commission v. Baird (1904)
98242,Intermountain Rate Cases (1914)
102969,United States v. Griffin (1938)
102488,Helvering v. St. Louis Union Trust Co. (1935)
101723,Klein v. United States (1931)
101780,Cyrus H. McCormick v. David Burnet (1931)
101552,May v. Heiner (1930)
1477043,Commissioner of Internal Revenue v. Schwarz (1935)
1474615,Commissioner of Internal Revenue v. Hallock (1939)
102489, Becker v. St. Louis Union Trust Co (1935)
102529,Colgate v. Harvey (1935)
88661,Butchers' Benevolent Ass'n v. Crescent City Live-Stock Landing & Slaughter-House Co. (1873)
96885,Twining v. New Jersey (1908)
103226,Haguer v. Committee for Industrial Organization (1939)
103227,"United States v. Rock Royal Co-Operative, Inc. (1939)"
101217,Liberty Warehouse Co. v. Burley Tobacco Growers' Co-Operative Marketing Assn. (1928)
96354,Carroll v. Greenwich Ins. Co. of NY (1905)
98219,International Harvester Co. of America v. Missouri (1914)
101842,United States Navigation Co. v. Cunard Steamship Co. (1932)
100052,Keogh v. Chicago & Northwestern Railway Co. (1922)
98166,German Alliance Insurance v. Lewis (1914)
103191,Mulford v. Smith (1939)
102457,Aero Mayflower Transit Co. v. Georgia Public Service Commission (1935)
95612,Connolly v. Union Sewer Pipe Co. (1902)
99670,United States v. Wheeler (1920)
87885,Crandall v. Nevada (1868)
86014,Mayor of New York v. Miln (1837) 
101453,Sinclair v. United States (1929)
99206,Toledo Newspaper Co. v. United States (1918)
88890,Ex Parte Robinson (1874)
92542,Savin (1889)
92543,Cuddy (1889)
101315,Ribnik v. McBride (1928)
101029,Tyson & Brother v. Banton (1927)
101356,Williams v. Standard Oil Co. of La. (1929)
101511,Tagg Bros. & Moorhead v. United States (1930)
101636,"O'Gorman & Young, Inc. v. Hartford Fire Ins. Co. (1931)"
102322,Hegeman Farms Corp. v. Baldwin (1934)
102602,"BORDEN’S FARM PRODUCTS CO., INC. v. TEN EYCK, COMMISSIONER OF AGRICULTURE & MARKETS OF NEW YORK, Et Al. (1936)"
102402,"Baldwin v. G. A. F. Seelig, Inc. (1935)"
102603,"Mayflower Farms, Inc. v. Ten Eyck (1936)"
102784,West Coast Hotel Co. v. Parrish (1937)
102835,Townsend v. Yeomans (1937)
103133,Currin v. Wallace (1939)
103362,Sunshine Anthracite Coal Co. v. Adkins (1940)
103442,United States v. Darby (1941)
98749,Brazee v. Michigan (1916)
101887,New State Ice Co. v. Liebmann (1932)
102713,Old Dearborn Distributing Co. v. Seagram-Distillers Corp. (1936)
102662,Carter v. Carter Coal Co. (1936)
101413,Highland v. Russell Car & Snow Plow Co. (1929)
90350,Dietzsch v. Huidekoper (1881)
100061,Kline v. Burke Construction Co. (1922)
96399,Gunter v. Atlantic Coast Line Railroad (1906)
89070,French v. Hay (1875)
89712,Dial v. Reynolds (1878)
99752,Supreme Tribe of Ben-Hur v. Cauble (1921)
93714,Root v. Woolworth (1893)
95802,Prout v. Starr (1903)
95346,Scranton v. Wheeler (1900)
97899,United States v. Chandler-Dunbar Water Power Co. (1913)
95793,United States v. Lynah (1903)
98902,United States v. Cress (1917)
87748,Gilman v. Philadelphia (1866)
94650,Gibson v. United States (1897)
103413,United States v. Appalachian Electric Power Co. (1941)
87367,State of Alabama v. State of Georgia (1860)
98436,Greenleaf Johnson Lumber Co. v. Garrison (1915)
98694,Willink v. United States (1916)
97900,Lewis Blue Point Oyster Cultivation Co. v. Briggs (1913)
95716,Reid v. Colorado (1902)
98832,Clark Distilling Co. v. Western Maryland Railway Co. (1917)
98608,Seven Cases of Eckman's Alternative v. United States (1916)
99412,United States v. Ferger (1919)
100469,James Everard's Breweries v. Day (1924)
98232,"Houston, East & West Texas Railway Co. v. United States (1914)"
99906,"Wisconsin RR Comm. v. C., B. & QRR CO. (1922)"
102204,"Local 167, International Brotherhood of Teamsters v. United States (1934)"
97451,Balt. & Ohio RR v. Int. Com. Comm. (1911)
100188,Board of Trade of Chicago v. Olsen (1923)
2621060,Bunting v. Oregon (1917)
99190,Hammer v. Dagenhart (1918)
2620693,Bullen v. Wisconsin (1916)
103220,Graves v. Elliott (1939)
100955,Wachovia Bank & Trust Co. v. Doughton (1926)
103219,Curry v. McCanless (1939)
96658,Chanler v. Kelsey (1907)
95546,Orr v. Gilman (1902)
101237,Saltonstall v. Saltonstall (1928)
101277,Blodgett v. Silberman (1928)
96454,Haddock v. Haddock (1906)
95457,Atherton v. Atherton (1901)
87830,Christmas v. Russell (1866)
95458,Bell v. Bell (1901)
102404,Alaska Packers Assn. v. Industrial Accident Comm'n of Cal. (1935)
98476,Hood v. McGehee (1915)
102412,Broderick v. Rosner (1935)
97084,Fall v. Eastin (1909)
96865,Fauntleroy v. Lum (1908)
103417,Milliken v. Meyer (1941)
101495,Johnson v. United States Shipping Bd. Emergency Fleet Corporation (1930)
102049,Vancouver Steamship Co. v. Rice (1933)
102479,The Admiral Peoples (1935)
100968,Eastern Transportation Co. v. United States (1927)
101230,United States Shipping Bd. Emergency Fleet Corporation v. Rosenberg Brothers & Co. (1928)
99419,The Lake Monroe (1919)
99982,Sloan Shipyards Corp. v. United States Shipping Bd. Emergency Fleet Corporation (1922)
103165,Keifer & Keifer v. Reconstruction Finance Corp. (1939)
103302,"Federal Housing Administration, Region No. 4 v. Burr (1940)"
102452,Federal Land Bank v. Priddy (1935)
103439,Reconstruction Finance Corporation v. JG Menihan Corp. (1941)
99972,Dahn v. Davis (1922)
93000,Guaranty Trust and Safe Deposit Co. v. Green Cove Springs and Melrose Railroad (1891)
103284,Yearsley v. W. A. Ross Construction Co. (1940)
95660,Minnesota v. Hitchcock (1902)
84992,Dunlop v. Munroe (1812)
92277,Robertson v. Sichel (1888)
94400,Spalding v. Vilas (1896)
103705,Jones v. Opelika (1942)
103355,Cantwell v. Connecticut (1940)
102601,Grosjean v. American Press Co. (1936)
101773,Near v. Minnesota Ex Rel. Olson (1931)
103816,Board of County Commissioners v. Seber (1943)
102466,Superintendent of Five Civilized Tribes v. Commissioner (1935)
103192,United States Trust Co. v. Helvering (1939)
97425,Tiger v. Western Investment Co. (1911)
102986,Helvering v. Mountain Producers Corp. (1938)
95792,United States v. Rickert (1903)
103172,Graves v. New York Ex Rel. O'Keefe (1939)
99097,Brader v. James (1918)
98296,"Choctaw, Oklahoma & Gulf Railroad v. Harrison (1914)"
98689,Indian Territory Illuminating Oil Co. v. Oklahoma (1916)
100916,Jaybird Mining Co. v. Weir (1926)
101499,Carpenter v. Shaw (1930)
97639,Choate v. Trapp (1912)
99118,McCurdy v. United States (1918)
100830, Childers v. Beaver (1926)
103373,Minersville School District v. Gobitis (1940)
102334,Hamilton v. Regents of the University of California (1934)
100694,Pierce v. Society of Sisters (1925)
101741,Stromberg v. California (1931)
102580,United States v. Butler (1936)
103017,United States v. Carolene Products Co. (1938)
96087,"Missouri, Kansas & Texas Railway Co. v. May (1904)"
96042,Rippey v. Texas (1904)
103508,Skiriotes v. Florida (1941)
102879,Palko v. Connecticut (1937)
96230,Jacobson v. Massachusetts (1905)
1303501,Shoemaker v. Keely (1793)
101011,"Farrington, Governor v. T. Tokushige (1927)"
99296,Schenck v. United States (1919)
103795,Helvering v. Griffiths (1943)
99053,Selective Draft Law Cases (1918)
103633,Federal Power Commission v. Natural Gas Pipeline Co. (1942)
101364,United Fuel Gas Co. v. Railroad Commission (1929)
102280,Columbus Gas & Fuel Co. v. Public Util. Comm'n of Ohio (1934)
102091,Los Angeles Gas & Electric Corp. v. Railroad Commission (1933)
102270,Dayton Power & Light Co. v. Public Utilities Commission (1934)
92743,"Chicago, Milwaukee & St. Paul Railway Co. v. Minnesota (1890)"
101492,United Rs. & Elec. Co. of Baltimore v. West (1930)
95840,The Osceola (1903)
100007,Carlisle Packing Co. v. Sandanger (1922)
103121,Socony-Vacuum Oil Co. v. Smith (1939)
101292,"Plamals v. S. S. ""Pinar Del Rio"" (1928)"
102648,The Arizona v. Anelich (1936)
101696,Carbice Corp. of America v. American Patents Development Corp. (1931)
97018,Leeds & Catlin Company v. Victor Talking Machine Company (No. 2) (1909)
102889,Leitch Manufacturing Co. v. Barber Co. (1938)
98917,Motion Picture Patents Co. v. Universal Film Manufacturing Co. (1917)
103578,B. B. Chemical Co. v. Ellis (1942)
103678,United States v. Masonite Corp. (1942)
103531,United States v. Classic (1941)
102431,Grovey v. Townsend (1935)
101911,Nixon v. Condon (1932)
4209365,Bell v. Hill (1934)
101446,United States v. Schwimmer (1929)
101765,United States v. MacIntosh (1931)
101766,United States v. Bland (1931)
103367,Apex Hosiery Co. v. Leader (1940)
3917155,Bullington v. . Angel (1941)
104182,Guaranty Trust Co. v. York (1945)
97674,David Lupton's Sons Co. v. Automobile Club of America (1912)
103012,Erie Railroad v. Tompkins (1938)
104139,Williams v. North Carolina (1945)
103096,Stoll v. Gottlieb (1938)
103736,Williams v. North Carolina (1943)
103084,Davis v. Davis (1938)
103236,Treinies v. Sunshine Mining Co. (1940)
95768,Andrews v. Andrews (1903)
98932,Chicago Life Insurance v. Cherry (1917)
101758,Baldwin v. Iowa State Traveling Men's Assn. (1931)
103264,Chicot County Drainage District v. Baxter State Bank (1940)
104459,Caldarola v. Eckert (1947)
104320,"Hust v. Moore-McCormack Lines, Inc. (1946)"
1476725,McAllister v. Cosmopolitan Shipping Co. (1948)
103979,"National Labor Relations Board v. Hearst Publications, Inc. (1944)"
104389,"American Stevedores, Inc. v. Porello (1947)"
103761,Brady v. Roosevelt Steamship Co. (1943)
103522,"Olsen v. Nebraska Ex Rel. Western Reference & Bond Assn., Inc. (1941)"
3902209,State v. . Whitaker (1947)
104041,Wallace Corp. v. National Labor Relations Board (1944)
102167,Home Building & Loan Assn. v. Blaisdell (1934)
103342,Veix v. Sixth Ward Building & Loan Assn. of Newark (1940)
104191,East New York Savings Bank v. Hahn (1945)
102614,Bayside Fish Flour Co. v. Gentry (1936)
98279,Sage v. Hampe (1914)
96764,Adair v. United States (1908)
96276,Lochner v. New York (1905)
94631,Allgeyer v. Louisiana (1897)
98337,Coppage v. Kansas (1915)
103344,Osborn v. Ozlin (1940)
98999,Adams v. Tanner (1917)
100246,Chas. Wolff Packing Co. v. Court of Industrial Relations (1923)
100628,Chas. Wolff Packing Co. v. Court of Industrial Relations of Kansas (1925)
103518,Phelps Dodge Corp. v. National Labor Relations Board (1941)
103870,West Virginia State Board of Education v. Barnette (1943)
102539,"Oklahoma Ex Rel. Oklahoma Tax Commission v. Barnsdall Refineries, Inc. (1936)"
102861,James v. Dravo Contracting Co. (1937)
8181584,Howard v. Gipsy Oil Co. (1918)
8181635,Large Oil Co. v. Howard (1919)
98362,Mutual Film Corp. v. Industrial Commission of Ohio (1915)
102991,Lovell v. City of Griffin (1938)
104623,Kovacs v. Cooper (1949)
2568568,"MATTER OF JOSEPH BURSTYN, INC. v. Wilson (1951)"
96482,Ayer & Lord Co. v. Commonwealth of Kentucky (1906)
93124,Pullman's Palace Car Co. v. Pennsylvania (1891)
96299,Old Dominion Steamship Co. v. Virginia (1905)
96495,New York Ex Rel. New York Central & Hudson River Railroad v. Miller (1906)
88336,St. Louis v. Ferry Co. (1871)
104628,"Ott, Commissioner of Public Finance v. Mississippi Barge Line Co. (1949)"
103990,"Northwest Airlines, Inc. v. Minnesota (1944)"
96335,Union Refrigerator Transit Co. v. Kentucky (1905)
103173,Pacific Employers Insurance v. Industrial Accident Comm'n (1939)
101915,Bradford Elec. Light Co. v. Clapper (1932)
3551998,Bunner v. Patti (1938)
104916,Hughes v. Fetter (1951)
93107,In Re Ross (1891)
105326,United States Ex Rel. Toth v. Quarles (1955)
96130,Dorr v. United States (1904)
105412,Kinsella v. Krueger (1956)
95504,Downes v. Bidwell (1901)
95894,Hawaii v. Mankichi (1903)
2181793,In Re Di Bartolo (1943)
105004,Madsen v. Kinsella (1952)
1528394,Ex Parte Milligan (1867)
99954,Balzac v. Porto Rico (1922)
105413,"Reid v. Covert, 351 U.S. 487 (1956)"
89656,Pennoyer v. Neff (1878)
97747,Thompson v. Thompson (1913)
104568,Estin v. Estin (1948)
104252,Commissioner v. Wilcox (1946)
104992,Rutkin v. United States (1952)
1495711,McKnight v. Commissioner of Internal Revenue (1942)
101568,Corliss v. Bowers (1930)
101083,United States v. Sullivan (1927)
103292,Helvering v. Hallock (1940)
101937,North American Oil Consolidated v. Burnet (1932)
104867,United States v. Lewis (1951)
104709,Wolf v. Colorado (1949)
3599253,People v. Defore (1926)
104943,Rochin v. California (1952)
106107,Elkins v. United States (1960)
98094,Weeks v. United States (1914)
105194,Irvine v. California (1954)
1237532,People v. Cahan (1955)
91573,Boyd v. United States (1886)
101935,Sproles v. Binford (1932)
104610,Lincoln Federal Labor Union v. Northwestern Iron & Metal Co. (1949)
105285,"Williamson v. Lee Optical of Oklahoma, Inc. (1955)"
2093296,"Home Budget Service, Inc. v. Boston Bar Association (1957)"
106545,Gideon v. Wainwright (1963)
2193029,The PEOPLE v. Escobedo (1963)
106822,Massiah v. United States (1964)
105750,Cicenia v. Lagay (1958)
106595,White v. Maryland (1963)
105917,Spano v. New York (1959)
105745,Crooker v. California (1958)
106300,Hamilton v. Alabama (1961)
105848,Brown v. United States (1959)
268056,United States v. Andimo Pappadio (1965)
267423,United States v. Carmine Tramunti (1965)
92334,Ex Parte Terry (1888)
106057,Levine v. United States (1960)
266063,United States v. Anthony Castaldi (1964)
267864,United States v. Salvatore Shillitani (1965)
104790,American Communications Assn. v. Douds (1950)
106267,Communist Party of United States v. Subversive Activities Control Bd. (1961)
104353,Board of Governors of the Federal Reserve System v. Agnew (1947)
87778,Cummings v. Missouri (1867)
104303,United States v. Lovett (1946)
94855,Hawker v. New York (1898)
106534,Kennedy v. Mendoza-Martinez (1963)
106625,Haynes v. Washington (1963)
94782,Bram v. United States (1897)
106883,Escobedo v. Illinois (1964)
106862,Malloy v. Hogan (1964)
103981,Ashcraft v. Tennessee (1944)
106558,Lynumn v. Illinois (1963)
100471,Ziang Sung Wan v. United States (1924)
104108,Malinski v. New York (1945)
91057,Hopt v. People of Territory of Utah (1884)
105658,Perez v. Brownell (1958)
94842,United States v. Wong Kim Ark (1898)
91470,Kurtz v. Moffitt (1885)
105659,Trop v. Dulles (1958)
98579,MacKenzie v. Hare (1915)
105880,Frank v. Maryland (1959)
106109,Ohio Ex Rel. Eaton v. Price (1960)
106641,Ker v. California (1963)
2305304,Givner v. State (1956)
106777,Stoner v. California (1964)
104605,McDonald v. United States (1948)
2062881,Paquette v. City of Fall River (1959)
2008391,Commonwealth v. Hadley (1966)
3637215,Adamec v. Post (1937)
107262,Schmerber v. California (1966)
107483,Berger v. New York (1967)
107465,"Warden, Maryland Penitentiary v. Hayden (1967)"
106187,Silverman v. United States (1961)
106622,Lopez v. United States (1963)
106108,Rios v. United States (1960)
103664,Goldman v. United States (1942)
101320,Olmstead v. United States (1928)
104974,Adler v. Board of Ed. of City of New York (1952)
106837,Baggett v. Bullitt (1964)
107210,Elfbrandt v. Russell (1966)
106514,National Ass'n for the Advancement of Colored People v. Button (1963)
105751,Speiser v. Randall (1958)
106142,Shelton v. Tucker (1960)
105537,Yates v. United States (1957)
106311,Cramp v. Board of Public Instruction of Orange Cty. (1961)
106050,Parker v. Ellis (1960)
264986,"United States of America Ex Rel. James P. Carafas v. J. Edwin Lavallee, Warden, Auburn Prison, Auburn, New York (1964)"
107408,Nowakowski v. Maroney (1967)
104336,Fiswick v. United States (1946)
265136,"Nathan Thomas v. W. K. Cunningham, Jr., Superintendent of the Virginia State Penitentiary (1964)"
107084,Linkletter v. Walker (1965)
106285,Mapp v. Ohio (1961)
107663,Ginsberg v. New York (1968)
95249,Ex Parte Baez (1900)
1425143,United States Ex Rel. Rivera v. Reeves (1965)
105176,United States v. Morgan (1954)
107631,Walker v. Wainwright (1968)
105722,Eskridge v. Washington State Board of Prison Terms & Paroles (1958)
103486,Ex Parte Hull (1941)
107014,Pointer v. Texas (1965)
1236300,Powell v. Alabama (1932)
102801,District of Columbia v. Clawans (1937)
95204,Maxwell v. Dow (1900)
106259,Irvin v. Dowd (1961)
105055,Schwartz v. Texas (1952)
102883,Nardone v. United States (1937)
104585,Shapiro v. United States (1948)
105090,United States v. Kahriger (1953)
105280,Lewis v. United States (1955)
107110,Albertson v. Subversive Activities Control Board (1966)
106864,Murphy v. Waterfront Commission of New York Harbor (1964)
102317,McNally v. Hill (1934)
106507,Jones v. Cunningham (1963)
100122,Moore v. Dempsey (1923)
106548,Fay v. Noia (1963)
107685,Duncan v. Louisiana (1968)
94515,United States v. Ball (1896)
107730,Sibron v. New York (1968)
104914,Dennis v. United States (1951)
102821,Herndon v. Lowry (1937)
99321,Frohwerk v. United States (1919)
99322,Debs v. United States (1919)
101097,Whitney v. California (1927)
104769,United States v. Rabinowitz (1950)
106021,Abel v. United States (1960)
104576,Trupiano v. United States (1948)
101164,Marron v. United States (1927)
101643,Go-Bart Importing Co. v. United States (1931)
107729,Terry v. Ohio (1968)
100567,Carroll v. United States (1925)
104422,Harris v. United States (1947)
90897,Civil Rights Cases (1883)
104546,Hurd v. Hodge (1948)
1447641,Hodges v. United States (1906)
100887,Corrigan v. Buckley (1926)
90040,Virginia v. Rives (1880)
1178568,"Adkins v. Lear, Inc. (1967)"
106758,"Compco Corp. v. Day-Brite Lighting, Inc. (1964)"
8928994,"Automatic Radio Mfg. Co., Inc. v. Hazeltine Research, Inc (1950)"
106757,"Sears, Roebuck & Co. v. Stiffel Co. (1964)"
100520,Westinghouse Electric & Manufacturing Co. v. Formica Insulation Co. (1924)
104194,Scott Paper Co. v. Marcalus Manufacturing Co. (1945)
103320,McGoldrick v. Compagnie Generale Transatlantique (1940)
104256,Wilson v. Cook (1946)
106930,Brulotte v. Thys Co. (1964)
106850,Reynolds v. Sims (1964)
104593,MacDougall v. Green (1948)
107449,Dusch v. Davis (1967)
104311,Colegrove v. Green (1946)
106366,Baker v. Carr (1962)
105687,Hoag v. New Jersey (1958)
105860,Abbate v. United States (1959)
107978,North Carolina v. Pearce (1969)
107980,Benton v. Maryland (1969)
105594,Green v. United States (1957)
106432,Sinclair Refining Co. v. Atkinson (1962)
105511,Textile Workers v. Lincoln Mills of Ala. (1957)
107655,"Avco Corp. v. Aero Lodge No. 735, International Ass'n of MacHinists & Aerospace Workers (1968)"
1276937,Price v. State (1968)
5726506,Brantley v. Georgia (1910)
1395638,Price v. State (1968)
8887067, (1965)
94866,Thompson v. Utah (1898)
95043,Capital Traction Co. v. Hof (1899)
96270,Rassmussen v. United States (1905)
92280,Callan v. Wilson (1888)
107486,United States v. Wade (1967)
90728,United States v. Harris (1883)
107201,United States v. Guest (1966)
107748,Jones v. Alfred H. Mayer Co. (1968)
104918,"Collins v. Hardyman, 341 U.S. 651 (1951)"
103548,Reitz v. Mealey (1941)
1198518,Schecter v. Killingsworth (1963)
288328, (1970)
106365,Kesler v. Department of Public Safety of Utah (1962)
100616,Lewis v. Roberts (1925)
104590,Ahrens v. Clark (1948)
107824,Smith v. Hooey (1969)
107679,Peyton v. Rowe (1968)
91598,Ex Parte Royall (1886)
108193,Nelson v. George (1970)
102839,Carmichael v. Southern Coal & Coke Co. (1937)
2042261,Lake Shore Auto Parts Co. v. Korzen (1971)
103290,Madden v. Kentucky Ex Rel. Commissioner (1940)
97378,Flint v. Stone Tracy Co. (1911)
101317,Quaker City Cab Co. v. Commonwealth of Pennsylvania (1928)
101340,Louis K. Liggett Co. v. Baldridge (1928)
107235,Mills v. Alabama (1966)
86449,Forgay v. Conrad (1848)
104183,"Radio Station Wow, Inc. v. Johnson (1945)"
96819,Ex Parte Young (1908)
106821,Parden v. Terminal Railway of Alabama State Docks Department (1964)
108763,Employees of Department of Public Health v. Department of Public Health (1973)
105869,Petty v. Tennessee-Missouri Bridge Commission (1959)
104057,Ford Motor Co. v. Department of Treasury (1945)
307980,"John Jordan, by His Next Friend, Jeanette Bryant, Individually and on Behalf of All Other Persons Similarly Situated, Cross-Appellees v. Edward T. Weaver, Cross-Appellants (1973)"
108113,Rosado v. Wyman (1970)
107743,King v. Smith (1968)
8901897,"Edna Rothstein v. George K. Wyman, as Commissioner of the Department of Social Services of the State of New York, and the Department of Social Services of the State of New York (1972) "
102271,Principality of Monaco v. Mississippi (1934)
107901,Shapiro v. Thompson (1969)
108075,Wyman v. Bowens (1970)
8989511,"Sterrett v. Mothers' & Children's Rights Organization, 409 U.S. 809 (1972)"
8988675,"State Department of Health & Rehabilitative Services of Florida v. Zarate, 407 U.S. 918 (1972)"
88869,The Pennsylvania (1874)
