court_name,count
Commission of Appeals,94
Commonwealth Court of Pennsylvania,40508
Confederated Salish & Kootenai Court of Appeals,35
Connecticut Appellate Court,20268
Connecticut Superior Court,49993
Constitutional Court of New York,1
"Coos County Circuit Court, Oregon",7
Coquille Indian Tribal Court,3
Cornwall Justice Court,1
Cortland City Court,2
Cortland County Court,1
Cortlandt Town Court,1
Coshocton Circuit Court,9
Coshocton County Court of Common Pleas,4
"Coshocton County Court, Ohio",1
Council of Elders of the Mohegan Tribe,1
"County Court of New York, Putnam County",19
Court for the Trial of Impeachments and Correction of Errors,3650
Court of Appeals for the Armed Forces,4689
Court of Appeals of Alaska,2874
Court of Appeals of Arizona,24427
Court of Appeals of Arkansas,11972
Court of Appeals of Georgia,117583
Court Of Appeals Of Indian Territory,575
Court of Appeals of Iowa,21173
Court of Appeals of Kansas,16516
Court of Appeals of Kentucky,55215
Court of Appeals of Kentucky (pre-1976),21494
Court of Appeals of Maryland,37311
Court of Appeals of Minnesota,15984
Court of Appeals of Mississippi,12665
Court of Appeals of Nevada,107
Court of Appeals of North Carolina,44388
"Court of Appeals of Ohio, Eighth District, Cuyahoga County",143
"Court of Appeals of Ohio, Eleventh District, Ashtabula County",4
"Court of Appeals of Ohio, Eleventh District, Geauga County",2
"Court of Appeals of Ohio, Eleventh District, Lake County",3
"Court of Appeals of Ohio, Eleventh District, Portage County",3
"Court of Appeals of Ohio, Eleventh District, Trumbull County",10
"Court of Appeals of Ohio, Fifth District, Ashland County",1
"Court of Appeals of Ohio, Fifth District, Delaware County",3
"Court of Appeals of Ohio, Fifth District, Fairfield County",2
"Court of Appeals of Ohio, Fifth District, Guernsey County",4
"Court of Appeals of Ohio, Fifth District, Knox County",1
"Court of Appeals of Ohio, Fifth District, Licking County",14
"Court of Appeals of Ohio, Fifth District, Morrow County",2
"Court of Appeals of Ohio, Fifth District, Muskingum County",2
"Court of Appeals of Ohio, Fifth District, Richland County",1
"Court of Appeals of Ohio, Fifth District, Stark County",7
"Court of Appeals of Ohio, Fifth District, Tuscarawas County",3
"Court of Appeals of Ohio, First District, Hamilton County",32
"Court of Appeals of Ohio, Fourth District, Adams County",7
"Court of Appeals of Ohio, Fourth District, Athens County",5
"Court of Appeals of Ohio, Fourth District, Gallia County",4
"Court of Appeals of Ohio, Fourth District, Highland County",2
"Court of Appeals of Ohio, Fourth District, Hocking County",4
"Court of Appeals of Ohio, Fourth District, Jackson County",1
"Court of Appeals of Ohio, Fourth District, Lawrence County",4
"Court of Appeals of Ohio, Fourth District, Meigs County",3
"Court of Appeals of Ohio, Fourth District, Pickaway County",5
"Court of Appeals of Ohio, Fourth District, Pike County",1
"Court of Appeals of Ohio, Fourth District, Ross County",3
"Court of Appeals of Ohio, Fourth District, Scioto County",5
"Court of Appeals of Ohio, Fourth District, Vinton County",1
"Court of Appeals of Ohio, Fourth District, Washington County",3
"Court of Appeals of Ohio, Ninth District, Medina County",2
"Court of Appeals of Ohio, Ninth District, Summit County",4
"Court of Appeals of Ohio, Ninth District, Wayne County",2
"Court of Appeals of Ohio, Second District, Champaign County",1
"Court of Appeals of Ohio, Second District, Clark County",1
"Court of Appeals of Ohio, Second District, Greene County",1
"Court of Appeals of Ohio, Second District, Miami County",3
"Court of Appeals of Ohio, Second District, Montgomery County",9
"Court of Appeals of Ohio, Seventh District, Belmont County",8
"Court of Appeals of Ohio, Seventh District, Carroll County",2
"Court of Appeals of Ohio, Seventh District, Columbiana County",4
"Court of Appeals of Ohio, Seventh District, Harrison County",3
"Court of Appeals of Ohio, Seventh District, Jefferson County",4
"Court of Appeals of Ohio, Seventh District, Mahoning County",20
"Court of Appeals of Ohio, Seventh District, Monroe County",6
"Court of Appeals of Ohio, Seventh District, Noble County",2
"Court of Appeals of Ohio, Sixth District, Erie County",3
"Court of Appeals of Ohio, Sixth District, Huron County",3
"Court of Appeals of Ohio, Sixth District, Lucas County",11
"Court of Appeals of Ohio, Sixth District, Ottawa County",2
"Court of Appeals of Ohio, Sixth District, Sandusky County",3
"Court of Appeals of Ohio, Sixth District, Williams County",1
"Court of Appeals of Ohio, Sixth District, Wood County",4
"Court of Appeals of Ohio, Tenth District, Franklin County",18
"Court of Appeals of Ohio, Third District, Marion County",1
"Court of Appeals of Ohio, Third District, Van Wert County",1
"Court of Appeals of Ohio, Twelfth District, Butler County",5
"Court of Appeals of Ohio, Twelfth District, Clinton County",2
"Court of Appeals of Ohio, Twelfth District, Fayette County",1
"Court of Appeals of Ohio, Twelfth District, Warren County",1
Court of Appeals of Oregon,43458
Court of Appeals of South Carolina,22606
Court of Appeals of Tennessee,25452
Court of Appeals of Texas,507084
Court of Appeals of Utah,7633
Court of Appeals of Virginia,21340
Court of Appeals of Washington,85532
Court of Appeals of Wisconsin,18481
Court Of Arbitration Of The Chamber Of Commerce Of New York,1
Court of Chancery of Delaware,6424
Court of Chancery of South Carolina,1017
Court of Civil Appeals of Alabama,21856
Court of Civil Appeals of Oklahoma,6823
Court of Claims,20146
Court of Claims of Illinois,9848
Court of Common Pleas of Ohio,22
"Court of Common Pleas of Ohio, Franklin County, Civil Division",885
"Court of Common Pleas of Ohio, Hamilton County",1420
Court of Criminal Appeals of Alabama,25399
Court of Criminal Appeals of Oklahoma,21579
Court of Criminal Appeals of Tennessee,25539
Court of Criminal Appeals of Texas,72858
Court of General Sessions of Delaware,3
Court of International Trade,24058
Court of King's Bench,241
Court Of Oyer And Terminer New York,185
"Court of Sessions, New York County",1
Court of Special Appeals of Maryland,11074
Court on the Judiciary of Delaware,8
Court on the Judiciary of Oklahoma,10
"Coweta County Superior Court, Ga.",5
Craig County Circuit Court,7
Crawford Circuit Court,22
Crawford County Court of Common Pleas,157
Crawford County Court of Quarter Sessions,14
Crawford County Municipal Court,3
Crawford County Orphans' Court,14
Criminal Court of the City of New York,1749
Ct. of Common Pleas of NJ,19
Culpeper County Circuit Court,16
Cumberland County Court of Common Pleas,641
Cumberland County Court of Oyer and Terminer,1
Cumberland County Court of Quarter Sessions,33
Cumberland County Family Court,8
Cumberland County Orphans' Court,22
Cumberland County Superior Court,4
Customs and Patent Appeals,10981
Cuyahoga Circuit Court,1308
Cuyahoga County Common Pleas Court,808
Cuyahoga County Court of Insolvency,1
Cuyahoga County Juvenile Court,14
Cuyahoga County Municipal Court,6
Cuyahoga County Probate Court,125
Cuyahoga Falls Municipal Court,2
Dade County Court of Record,24
Dade County Judge's Court,27
Dade County Property Appraisal Adjustment Board,6
Dade County Small Claims Court,41
D. Alabama,6
D. Alaska,98987
Danville County Circuit Court,19
D. Arizona,1590849
Darke Circuit Court,18
Darke County Court of Common Pleas,29
Darke County Municipal Court,2
Darke County Probate Court,1
Dauphin County Court of Common Pleas,1559
Dauphin County Court of Oyer and Terminer,7
Dauphin County Court of Quarter Sessions,151
Dauphin County Orphans' Court,83
D. California,245
D.C. Circuit,55497
D. Colorado,712308
D. Connecticut,459390
D. Delaware,278712
"Decatur County Superior Court, Ga.",1
Decisions of the Federal Communications Commission,1
Defiance Circuit Court,20
Defiance County Court of Common Pleas,12
"DeKalb County Superior Court, Ga.",5
Delaware Circuit Court,17
Delaware County Court,4
Delaware County Court of Common Pleas,1169
Delaware County Court of Oyer and Terminer,3
Delaware County Court of Quarter Sessions,217
Delaware County Juvenile Court,1
Delaware County Orphans' Court,115
Delaware Court of Common Pleas,592
Delaware Court of Oyer and Terminer,111
Delaware Family Court,205
Delaware Orphan's Court,146
Denver Superior Court,8
Department of Interior,6
Depew Justice Court,1
"Deschutes County Circuit Court, Oregon",6
De Soto County Circuit Court,1
Detroit Recorder's Court,2
DeWitt Justice Court,4
D. Florida,6
D. Georgia,183
D. Guam,21264
D. Hawaii,252050
Dickenson County Circuit Court,8
Dickinson Justice Court,1
D. Idaho,221573
D. Illinois,4
D. Indiana,144
Dinwiddie County Circuit Court,3
D. Iowa,9
"District Court, Canal Zone",105
District Court of Appeal of Florida,348583
District of Columbia,293813
District of Columbia Court of Appeals,22096
District of Columbia Criminal Court,9
District of Columbia Orphans' Court,9
Dix Town Court,3
D. Kansas,423042
D. Kentucky,74
D. Louisiana,27
D. Maine,165855
D. Maryland,1230126
D. Massachusetts,718434
D. Michigan,52
D. Minnesota,704270
D. Mississippi,6
D. Missouri,25
D. Montana,163270
D. Nebraska,279662
D. Nevada,578786
D. New Hampshire,182687
D. New Jersey,1595364
D. New Mexico,645521
D. New York,99
D. North Carolina,29
D. North Dakota,100905
Dobbs Ferry Justice Court,4
D. Ohio,25
D. Oregon,691313
"Douglas County Circuit Court, Oregon",3
Douglas County District Court,1
D. Pennsylvania,126
D. Puerto Rico,526993
D. Rhode Island,177975
D. South Carolina,591739
D. South Dakota,131046
D. Tennessee,31
D. Texas,6
Dunkirk City Court,3
D. Utah,344961
Dutchess County Court,5
Dutchess Family Court,3
Duval County Circuit Court,200
Duval County Court,7
Duval County Court of Record,12
Duval County Judge's Court,1
D. Vermont,78736
D. Virginia,11
D. Virgin Islands,1625
D. Washington,171
D. West Virginia,24
D. Wisconsin,63
D. Wyoming,115210
"Early County Superior Court, Ga.",1
Eastchester Justice Court,1
Eastern Band of Cherokee Indians Supreme Court,12
Eastern Band of Cherokee Indians Tribal Court,1
East Liverpool Municipal Court,4
East Rochester Justice Court,1
E.D. Arkansas,443226
E.D. California,1009441
E.D. Illinois,913
E.D. Kentucky,432218
E.D. Louisiana,491336
E.D. Michigan,1380390
E.D. Missouri,649902
E.D. New York,983070
E.D. North Carolina,505124
E.D. Oklahoma,127223
E.D. Pennsylvania,1138024
E.D. South Carolina,751
E.D. Tennessee,603812
E.D. Texas,416008
E.D. Virginia,1230561
E.D. Washington,301064
E.D. Wisconsin,554999
Eighth Circuit,103395
"Elbert County Superior Court, Ga.",2
Eleventh Circuit,93096
Elk County Court of Common Pleas,60
Elk County Court of Quarter Sessions,15
Elk County Orphans' Court,7
Elma Justice Court,2
Elmira City Court,2
Elmsford Justice Court,1
Elyria Municipal Court,7
Emergency Court of Appeals,346
Erie Circuit Court,36
Erie County Court,33
Erie County Court Common Pleas,504
Erie County Court of Common Pleas,10
Erie County Court of Oyer and Terminer,6
Erie County Court of Quarter Sessions,40
Erie County Orphans' Court,93
Erie County Probate Court,1
Erie Family Court,13
Erie Surrogate's Court,8
Escambia County Circuit Court,23
Escambia County Court of Record,2
Essex County Circuit Court,12
Essex County Court,95
Essex County Court of Quarter Sessions of New Jersey,10
Essex County Family Court,10
Essex County Superior Court,2
Essex County Surrogate's Court,43
Essex Family Court,1
Euclid City Municipal Court,1
Euclid Municipal Court,3
Fairfax County Circuit Court,1982
Fairfield Circuit Court,21
Fairfield County Court of Common Pleas,8
Fairfield County Probate Court,1
Fairport Justice Court,1
Fauquier County Circuit Court,45
Fayette Circuit Court,14
Fayette County Court,435
Fayette County Court of Common Pleas,42
Fayette County Court of Oyer and Terminer,8
Fayette County Court of Quarter Sessions,32
Fayette County Orphans' Court,20
Fayette County Probate Court,3
"Fayette Superior Court, Ga.",15
Federal Circuit,70863
Federal Claims,80492
Fifth Circuit,200129
Findlay Municipal Court,15
First Circuit,44940
Fishkill Justice Court,2
Flagler County Circuit Court,3
Flagler County Court,1
Fleischmanns Justice Court,1
Florida Attorney General Reports,3983
Florida Circuit Courts,2088
Florida County Courts,60
Florida Department of Health and Rehabilitative Services,1
Florida Fifth District Court of Appeal,29
Florida First District Court of Appeal,44
Florida Fourth District Court of Appeal,16
Florida Industrial Commission,94
Florida Public Service Commission,266
Florida Real Estate Commission,5
Florida Second District Court of Appeal,57
Florida Third District Court of Appeal,222
Floyd County Circuit Court,2
Fluvanna County Circuit Court,1
Foreign Intelligence Surveillance Court,6
Foreign Intelligence Surveillance Court of Review,2
Forest County Court of Common Pleas,37
Forest County Orphans' Court,2
Fort McDowell Supreme Court,9
Fort McDowell Yavapai Nation Tribal Court of Appeals,1
Fort Peck Appellate Court,344
Fort Peck Tribal Court,9
Fostoria Municipal Court,3
Fourth Circuit,182485
Frankfort Justice Court,1
Franklin Circuit Court,43
Franklin County Circuit Court,7
Franklin County Court,45
Franklin County Court of Common Pleas,182
Franklin County Court of Oyer and Terminer,1
Franklin County Court of Quarter Sessions,25
"Franklin County Courts, Ohio",1
Franklin County Municipal Court,56
Franklin County Orphans' Court,19
"Franklin County Superior Court, Ga.",1
Frederick County Circuit Court,118
Fredericksburg County Circuit Court,72
Fremont County District Court,1
Fremont Municipal Court,1
Fulton Circuit Court,15
Fulton City Court,1
Fulton County Court,5
Fulton County Court of Common Pleas,142
Fulton County Court of Oyer and Terminer,2
Fulton County Court of Quarter Sessions,12
Fulton County Orphans' Court,10
Fulton County Probate Court,1
Gadsden County Circuit Court,2
Galia County Court of Common Pleas,1
Gallia County Court of Common Pleas,4
Gallipolis Municipal Court,1
Garden City Police Court,3
Garfield County District Court,1
Gates Town Court,1
Geauga Circuit Court,11
Geauga County Court of Common Pleas,16
Geauga County Probate Court,2
General Court of Maryland,6
General Court of Virginia,1802
Geneseo Justice Court,1
Geneva City Court,7
Georgia Court of Oyer and Terminer,1
Giles County Circuit Court,1
Girard Municipal Court,4
Glades County Circuit Court,2
Glens Falls City Court,3
Gloucester County Circuit Court,5
Gloucester County Superior Court,1
Gloversville City Court,2
Goochland County Circuit Court,6
Grand Ronde Court of Appeals,17
Grand Ronde Tribal Court,105
Grand Traverse Band of Ottawa and Chippewa Indians Tribal Court,6
Grand Traverse Band of Ottawa & Chippewa Indians Tribal Appellate Court,1
Grayson County Circuit Court,1
Great Neck Plaza Village Court,2
Greece Justice Court,4
Green County Court of Common Pleas,3
Greene Circuit Court,4
Greene County Circuit Court,29
Greene County Court,3
Greene County Court of Common Pleas,92
Greene County Court of Oyer and Terminer,2
Greene County Court of Quarter Sessions,12
Greene County Juvenile Court,1
Greene County Orphans' Court,6
Greene County Probate Court,3
Greene Family Court,1
Greenport Justice Court,1
Greensville County Circuit Court,15
Guernsey Circuit Court,24
Guernsey County Court of Common Pleas,12
"Gwinnett County Superior Court, Ga.",2
"Habersham County Superior Court, Ga.",1
Halifax County Circuit Court,3
"Hall County Superior Court, Ga.",2
Hamilton Circuit Court,1286
Hamilton County Circuit Court,1
Hamilton County Court,72
Hamilton County Court of Insolvency,45
Hamilton County Judge's Court,2
Hamilton County Juvenile Court,1
Hamilton County Municipal Court,134
Hamilton County Probate Court,139
Hampton County Circuit Court,7
Hancock Circuit Court,57
Hancock County Court of Common Pleas,24
Hancock County Probate Court,1
"Hancock County Superior Court, Ga.",3
Hancook Circuit Court,1
Hanover County Circuit Court,64
Hardee County Circuit Court,1
Hardin Circuit Court,7
Hardin County Court of Common Pleas,11
Hardin County Probate Court,1
Harrisburg County Court of Common Pleas,23
"Harris County Superior Court, Ga.",2
Harrison Circuit Court,12
Harrison County Court of Common Pleas,19
"Harrison County Court, Ohio",1
Harrison County Probate Court,2
Harrison Town Court,5
Hastings-on-Hudson Justice Court,1
Haverstraw Justice Court,1
Hawaii Intermediate Court of Appeals,15637
Hawaii Supreme Court,16320
"Heard County Superior Court, Ga.",4
Hempstead Justice Court,1
Hendry County Circuit Court,1
Henrico County Circuit Court,223
Henrietta Justice Court,3
Henry Circuit Court,5
Henry County Circuit Court,10
Henry County Court of Common Pleas,6
Henry County Probate Court,1
Herkimer County Court,8
Herkimer Justice Court,2
High Court of American Samoa,2163
"High Court of Justice, Chancery Division",1
Highland Circuit Court,2
Highland County Circuit Court,6
Highland County Court of Common Pleas,24
"Highland County Court, Ohio",1
Highland County Municipal Court,1
Highland County Probate Court,1
Highlands County Circuit Court,1
Highlands Justice Court,1
Hillsborough County Circuit Court,50
Hillsborough County Court,4
Hoboken City Recorder's Court.,1
Ho-Chunk Nation Supreme Court,78
Ho-Chunk Nation Trial Court,123
Hocking County Court of Common Pleas,6
Hocking County Municipal Court,1
Holmes Circuit Court,5
Holmes County Court,1
Holmes County Court of Common Pleas,8
Hopewell County Circuit Court,25
Hopi Appellate Court,113
Hornell City Court,4
Horseheads Justice Court,4
House of Lords (UK),1
"Houston Superior Court, Ga.",2
Hudson City Court,5
"Hudson County Circuit Court, N.J.",52
Hudson County Family Court,5
Hudson County Superior Court,56
Hudson County Surrogate's Court,4
Hunterdon County Superior Court,1
Hunter Justice Court,5
Huntingdon County Court of Common Pleas,45
Huntingdon County Court of Quarter Sessions,6
Huntingdon County Orphans' Court,3
Huntington Bay Justice Court,2
Huron Circuit Court,73
Huron County Court of Common Pleas,27
Huron County Juvenile Court,3
Huron County Probate Court,4
Hyde Park Justice Court,1
Idaho Court of Appeals,10178
Idaho Supreme Court,16241
Illinois Circuit Court,201
Illinois Supreme Court,59725
