unique_id,text
16856361-415379303-429077967,Notice of Plan Completion-Chapter 13
16856361-414454884-428102933,Order to Stop Deduction of Wages
16856361-411402979-424450420,Notice of Change of Address
16856361-383357815-391307399,Creditor Request for Notices
16856361-376075153-383693775,Substitute Attorney
16856361-375930570-383546573,Substitute Attorney
16856361-358132405-364679354,Notice of Withdrawal of Document
16856361-201277404-207041151,Withdrawal of Document
16856361-198853883-204568904,BNC Certificate of Mailing - Hearing 
16856361-198618211-204330602,Hearing(Trustee's Motion to Show Cause-Plan Payments)
16856361-198554859-204265765,Show Cause (Plan Payments-Tr Event)
16856361-172030477-177326594,Notice to Withdraw as Attorney
16856361-161876218-167027589,BNC Certificate of Mailing - Assignment of Claim
16856361-161483226-166628779,none
16856361-161468749-166614155,Transfer of Claim
16856361-154150280-159199575,Withdrawal of Document
16856361-150234032-155047021,BNC Certificate of Mailing - Hearing 
16856361-149895111-154696381,Hearing(Trustee's Motion to Show Cause-Plan Payments)
16856361-149770510-154570277,Show Cause (Plan Payments-Tr Event)
16856361-134818316-139382611,"Relief from Stay - Chapter 11,12,13-Order"
16856361-131268024-135780990,Order to Deduct Wages
16856361-131257731-135770495,Order to Stop Deduction of Wages
16856361-130547195-135050377,BNC Certificate of Mailing - Hearing 
16856361-130380949-134882807,Objection to Claim
16856361-130358956-134860623,Hearing(Document)
16856361-130241914-134741945,"Relief from Stay - Chapter 11,12,13"
16856361-130241912-134741943,none
16856361-129673065-134166227,Notice of Deficiency-Pleading Must Be Refiled
16856361-129593618-134085905,Miscellaneous Relief
16856361-127778833-132251122,Appear pro hac vice
16856361-127778821-132251110,Schedule of Allowed Claims
16856361-127749106-132221123,Notice to Filer
16856361-127739270-132211202,BNC Certificate of Mailing - Order Confirming Chapter 13 Plan
16856361-127667815-132139214,Proposed Order
16856361-127382859-131851248,Confirming Chapter 13 Plan
16856361-127382526-131850915,Objection to Claim
16856361-127364608-131832823,Order to Deduct Wages
16856361-127364500-131832714,Notice of Deficiency-No Proposed Order Filed
16856361-127288126-131755563,Meeting of Creditors Held - Chapter 13
16856361-127251617-131718826,Appear pro hac vice
16856361-127213568-131680350,Personal Financial Management Course Certificate
16856361-125196760-129643236,BNC Certificate of Mailing - Meeting of Creditors Continued
16856361-125001621-129446408,Notice of Continuance of 341-13 Trustee and Ch 11s ONLY
16856361-124968444-129412980,Notice of Continuance of 341-13 Trustee and Ch 11s ONLY
16856361-123776139-128211815,BNC Certificate of Mailing - PDF Notice Request
16856361-123433334-127867005,Notice Postponing Section 341 Meeting-COVID
16856361-123370273-127803554,Notice Postponing Section 341 Meeting-COVID
16856361-121920844-126342916,Notice of Appearance and Request for Notice
16856361-121106446-125522501,Notice of Appearance and Request for Notice
16856361-120398516-124808595,BNC Certificate of Mailing - Order to Debtor
16856361-120398513-124808592,BNC Certificate of Mailing - Meeting of Creditors
16856361-119998892-124406206,Creditor Request for Notices
16856361-119972546-124379731,Generate 341 Notice-Chapter 13
16856361-119817106-124222431,Voluntary Petition (Chapter 13)
16856361-119817104-124222429,Chapter 13 Plan
16856361-119817102-124222427,Statement of Social Security Number
16856361-119817100-124222425,Certificate of Credit Counseling
16856361-119817088-124222413,none
16856361-119817086-124222411,Auto Assignment Meeting of Creditors 13
16856361-119817078-124222403,Certificate of Service
16152014-114038650-118394027,Close Bankruptcy Case
16152014-112868044-117215130,BNC Certificate of Mailing - Order of Discharge
16152014-112547936-116892717,Autoclose deadline
16152014-112522993-116867608,Automatic Discharge of Debtor
16152014-110875001-115206233,Certificate of Service
16152014-110850125-115181174,Relief from Stay(Order)
16152014-108464441-112776998,Relief from Stay
16152014-108464412-112776969,Auto-Docket of Credit Card/Debit Card
16152014-107644280-111950162,Notice of Change of Debtor's Address
16152014-104874079-109155849,Personal Financial Management Course
16152014-101647924-105904353,Notice of Appearance and Request for Notice
16152014-101434506-105689526,BNC Certificate of Mailing
16152014-101434507-105689527,BNC Certificate of Mailing - Meeting of Creditors
16152014-101171444-105424495,Creditor Request for Notices
16152014-101098501-105350945,Debtor (Ch 7)
16152014-101096329-105348726,Auto Assignment Meeting of Creditors 7 No Asset Individual
16152014-101001765-105253451,Voluntary Petition (Chapter 7)
16152014-105397422-109683272,Chapter 7 Trustee's Report of No Distribution - No Funds
16152014-101098165-105350599,Debtor (Ch 7)
16152014-101001759-105253447,Statement of Social Security Number (Form 121)
16152014-101001743-105253429,Auto-Docket of Credit Card/Debit Card
12684070-143099168-147783538,Satisfaction of Judgment
59648103-333692076-339996282,BNC Certificate of Notice
59648103-333476612-339779269,Close Bankruptcy Case (CACB AutoClose)
59648103-333350702-339652848,ORDER OF DISCHARGE - Chapter 7 (CACB AutoDischarge) (BNC)
59648103-324425990-330686803,Reaffirmation Agreement
59648103-322508961-328768049,BNC Certificate of Notice
59648103-322150886-328409274,Voluntary Petition (Chapter 7)
59648103-322150882-328409270,Electronic Filing Declaration (LBR Form F1002-1)
59648103-322150879-328409267,Certificate of Credit Counseling (Per Part 5 of Voluntary Petition)
59648103-322150878-328409266,Statement About Your Social Security Number (Official Form 121)
59648103-322150877-328409265,Declaration by Debtor as to Whether Db Received Income From an Employer  (LBR Form F1002-1)
59648103-322150850-328409238,Meeting of Creditors 7 (No Asset) (I/J No POC)
8340311-47780922-50666213,Exhibit Settlement Agreement
8340311-47780857-50408194,Exhibit Declaration of Travis Lepicier
8340311-47780857-50408183,Exhibit AAA Fee Schedule
8340311-47780857-50408171,Exhibit Declaration of Brian Pollock
8340311-47780857-50408162,Exhibit Declaration of Amber Merritt
8340311-47780857-50408156,Exhibit DRP
8340311-47780741-50132250,Supplement Summons
13247115-288330221-294548105,Order of Dismissal
13247115-279640868-285848963,Order
13247115-279640865-285848960,Transmission to Docket Assistant Clerk
13247115-277645688-283853127,Order
13247115-277645683-283853122,Transmission to Docket Assistant Clerk
13247115-277645670-283853109,Mail Order by Certified Mail
13247115-269987263-276189130,Order of Service
13247115-266558822-272754211,Order Granting IFP Application
13247115-266558819-272754208,Mail Order by Certified Mail
13494918-304787405-311024073,Summons Issued
13494918-304693241-310929856,~Util - Create Case Association AND Order
13494918-300780624-307013710,Initial Case Assignment
13494918-300590137-306823185,Complaint
13494918-129318124-133806798,Order Dismissing Case
13503704-344371515-350706161,Initial Case Assignment
67648649-372819591-380361715,BNC Certificate of Mailing - Final Decree
67648649-372525891-380062849,Final Decree - Chapter 7 No Asset
67648649-372525886-380062844,Close Bankruptcy Case
67648649-372395427-379926833,Chapter 7 Trustee's Report of No Distribution - No Funds
67648649-369847153-377223878,BNC Certificate of Mailing - Order of Discharge
67648649-369533971-376899994,Discharging Debtor - Chapter 7
67648649-369530639-376896631,"BA 341 Meeting held, debtor(s) present and examined - Ch7"
67648649-363044309-369760026,Personal Financial Management Course Certificate
67648649-361980481-368661229,Certificate of Service
67648649-360570580-367183094,BNC Certificate of Mailing - Meeting of Creditors
67648649-360190625-366793965,Meeting of Creditors Chapter 7 (No Asset)
67648649-360179745-366783025,Voluntary Petition (Chapter 7)
67648649-360179744-366783024,Statement of Social Security Number(s) (Form 21)
67648649-360179743-366783023,none
67648649-360179742-366783022,Certificate of Credit Counseling
63404975-199096195-204818112,Pretrial Services Report (Sealed)
63404975-198760926-204474890,Detention Hearing
63404975-198760925-204474888,Commitment to Another District (FORM)
63404975-198760914-204474877,Rule 5 (40) Papers Sent
63404975-198704012-204417440,Exhibits
63404975-198697665-204410877,US Attorneys Notice of Appearance (Govt Use Only)
63404975-198687179-204400318,Notice of Attorney Appearance - Federal Public Defender
63404975-198674416-204387452,Initial Appearance - Rule 5(c)(3)
63404975-198674412-204387448,Appointing Public Defender (FORM)
63404975-198674410-204387446,Brady Order (FORM)
63404975-198674405-204387441,Detention (FORM)
63404975-198612825-204325099,Document
63404975-198612813-204325087,Arrest - Rule 40 
63404975-198612805-204325079,Set/Reset Hearings
63404975-198612800-204325074,Warrant Returned Executed
16652338-126706837-131168901,Order Discharging Trustee/Closing Case
16652338-126123671-130578417,Order Discharging Debtor
16652338-118362294-122754228,Financial Management Course Certificate for AutoDocket Only
16652338-114736881-119097765,Request for Notice(s) (creditor event only)
16652338-114617073-118976737,Voluntary Petition (Chapter 7)
16652338-114617070-118976734,Statement of Social Security Number
16652338-114617060-118976724,Disclosure of Compensation of Attorney for Debtor
16652338-114617058-118976722,Declaration Re: Electronic Filing
63311530-210153044-216070508,Summary Notice of Claims Filed
63311530-203699506-209510069,Financial Management Course (Form 423) - Debtor Education
63311530-203699505-209510068,Financial Management Course (Form 423) - Debtor Education
63311530-202547608-208338858,BNC Certificate of Mailing
63311530-202293253-208078988,Notice of Requirement to Complete Course in Financial Management
63311530-202289559-208075198,Notice of Requirement to Complete Course in Financial Management
63311530-200093406-205831767,BNC Certificate of Mailing
63311530-199871197-205606021,Order Confirming Chapter 13 Plan
63311530-198434022-204143194,Meeting of Creditors Held (Tr 13)
63311530-197278280-202972077,BNC Certificate of Mailing
63311530-196991413-202680235,Order on Compensation 13
63311530-196924021-202611847,BNC Certificate of Mailing
63311530-196853015-202539916,Order on Motion to Extend Automatic Stay
63311530-195503151-201166274,BNC Certificate of Mailing - Meeting of Creditors
63311530-195503142-201166265,BNC Certificate of Mailing
63311530-195267824-200924632,Order to Pay Trustee (Tr 13)
63311530-195267782-200924590,Order on Compensation 13
63311530-195225195-200881484,Meeting of Creditors Chapter 13
63311530-195178110-200833781,Receipt (Auto)
63311530-195193426-200849441,Clerk's Evidence of Repeat Filings
63311530-195198533-200854588,Notice of Case Change
63311530-195160771-200816251,Voluntary Petition (Chapter 13)
63311530-195160770-200816250,Certificate of Credit Counseling (Ch 13)
63311530-195160769-200816249,Certificate of Credit Counseling (Ch 13)
63311530-195160765-200816245,Chapter 13 Plan
63311530-195160762-200816242,Compensation-Ch. 13 ONLY
63311530-195160761-200816241,Extend Automatic Stay
63311530-195160967-200816449,Compensation-Ch. 13 ONLY
16413188-120895322-125309877,AutoClose Bankruptcy Case
16413188-119654763-124058146,Certificate of Mailing - BNC
16413188-119190713-123590138,Discharge of Debtor
16413188-114279324-118636428,Reaffirmation Agreement
16413188-111574446-115911323,Chapter 7 Trustee's Report of No Distribution - No Funds
16413188-108422229-112734415,Financial Management Course
16413188-108183207-112493314,Certificate of Mailing - BNC
16413188-108003558-112312289,Request for Notice
16413188-107990595-112299274,341 Meeting Issued after Auto Assign
16413188-107960616-112269106,Notice of Debtor's Prior Filings
16413188-107932724-112241094,Auto Assignment (7 No Asset)
16413188-107918550-112226810,Voluntary Petition (Chapter 7)
16413188-107918543-112226803,Statement of Social Security Number-Form 121
16413188-107918541-112226801,Statement 1015-2 with No Prior
16413188-107918540-112226800,Statement of Intent
16413188-107918538-112226798,Verification of Creditor Matrix
16413188-107918534-112226794,Certificate of Credit Counseling
16413188-107918514-112226774,Auto-Docket of Credit Card/Debit Card
6742365-354046046-360537950,BNC Certificate of Mailing
6742365-353683034-360170551,Courtroom Minutes/Order - D1 MI ER KB - D00 ER
6742365-351699871-358141155,BNC Certificate of Mailing
6742365-351369572-357810024,Courtroom Minutes/Order - C3 JB - C1 MI DJ ER
6742365-351348822-357789223,Response
6742365-350791120-357230931,BNC Certificate of Mailing
6742365-350629917-357069581,Chapter 13 Trustee's Motion to Dismiss Case (batch)
6742365-350444717-356884113,Notice on Financial Management Chapter 13 ADI (FORMS)
6742365-348677556-355115938,BNC Certificate of Mailing
6742365-348380883-354817659,Courtroom Minutes/Order - R2 LZP and JB - R1 MI DJ ER
6742365-348303442-354739940,Notice
6742365-345402698-351740298,Schedule A/B AND Schedule C
6742365-345402697-351740297,Amended Chapter 13 Plan
6742365-345402695-351740295,Certificate
6742365-344743504-351078903,Meeting of Creditors Held
6742365-343880748-350215345,Notice of Appearance and Request for Notice
6742365-342799624-349130343,Certificate
6742365-342789296-349120015,Schedule J
6742365-342789295-349120014,Amended Chapter 13 Plan
6742365-342337714-348666184,BNC Certificate of Mailing - Meeting of Creditors
6742365-342337713-348666183,BNC Certificate of Mailing
6742365-341828951-348155633,Chapter 13 Meeting of Creditors (batch)(BNC NOTICING)
6742365-341828929-348155611,Chapter 13 Trustee's Notice of Confirmation Hearing and Plan Summary (batch)(BNC NOTICING)
6742365-341753333-348079880,BNC Certificate of Mailing
6742365-341553673-347879861,Courtroom Minutes (Text)
6742365-341553653-347879841,Extend Automatic Stay
6742365-341533300-347859443,BNC Certificate of Mailing
6742365-341533299-347859442,BNC Certificate of Mailing
6742365-341356159-347681644,Certificate
6742365-341315589-347640987,Declaration for Electronic Filing and Statement of SSN Submitted
6742365-341265048-347589833,Order for EFT or ACH Payments
6742365-341254997-347579773,Setting Hearing
6742365-341204244-347528836,Notice of Appearance and Request for Notice
6742365-341175861-347500173,BNC Certificate of Mailing
6742365-341175860-347500172,BNC Certificate of Mailing
6742365-341059599-347383171,Initial Order for Chapter 13 Case
6742365-340962186-347284801,Order on Chapter 13 Fixed Fee Agreement (FORMS)
6742365-340897398-347219855,Notice of Appearance and Request for Notice (Creditors)
6742365-340885288-347207731,Proposed Order for EFT or ACH Payments and Debtor Certification
6742365-340885285-347207728,Extend Automatic Stay
6742365-340874824-347197248,Notice of Duplicate Case Filing
6742365-340767355-347089475,Voluntary Petition (Chapter 13) [system event
6742365-340767354-347089474,Chapter 13 Plan
6742365-340767350-347089470,none
6742365-340767346-347089466,Chapter 13 Statement of Current Monthly Income Form 122C-1
6742365-340767344-347089464,Certificate of Credit Counseling
6742365-340767342-347089462,Pay Advices or Certification
6742365-340767337-347089457,Chapter 13 Fixed Fee Agreement
6742365-29611068-31706416,BNC Certificate of Mailing
6742365-29276404-31369264,Final Decree (FORMS)
6742365-26198568-28268907,Chapter 13 Trustee's Final Report and Account
15447674-104114248-108389812,"Virtual Order Approving Account, Discharging Trustee, Cancel Bond, Close Estate (Dismissed 12 or 13)"
15447674-104114115-108389679,Close Bankruptcy Case
15447674-100186206-104431525,"TRUSTEE - Final Report and Account - Chapter 13 (not for conversions, supplemental) (batch)"
15447674-98376015-102607625,(NO PAPER) - Alias Removed from Case Style
15447674-89596249-93774453,Effect Dismissal
15447674-86397038-90566898,Receipt of Installment Payment (Automation Use Only - Do Not Select)
15447674-86015933-90182309,BNC Certificate of Mailing - Order/Notice Dismissing Case
15447674-85541773-89704120,Order Dismissing Case (BK cases only)
15447674-85282614-89442927,BNC Certificate of Mailing - Meeting of Creditors
15447674-84857758-89014826,Statement of Financial Affairs
15447674-84857751-89014819,Statement of Social Security Numbers
15447674-84857719-89014787,341 Mtg. Notice - Ch 13
15447674-83873964-88023197,Request for Notice
15447674-83694414-87842179,BNC Certificate of Mailing - Order
15447674-82556400-86701357,BNC Certificate of Mailing - Meeting of Creditors
15447674-82556399-86701356,BNC Certificate of Mailing - Notice to Creditors and Parties in Interest
15447674-81179382-85323765,Order Withholding Entry of Discharge
15447674-78852686-82995164,Prior Bankruptcy Case(s)
15447674-77384168-81526138,Voluntary Petition (Chapter 13)
15447674-77384157-81526126,Certificate Of Credit Counseling
15447674-77384147-81526118,341 Mtg. Notice - Ch 13
15447674-77384123-81526093,Notice Of Deficient Filing
15447674-77383654-81525625,Administrative Order FLMB-2018-2 Prescribing Procedures for Chapter 13 Cases
60703650-195526298-201189933,Close Bankruptcy Case
60703650-195294853-200952230,Discharge of Ch 13 Trustee
60703650-195292976-200950255,Discharge of Ch 13 Trustee
60703650-192854695-198471775,13 Final Report and Account
60703650-184379973-189865379,BNC Certificate of Mailing
60703650-184258877-189743130,BNC Certificate of Mailing - Order Dismissing Case
60703650-184099585-189582220,Order on Application for Administrative Expenses
60703650-184066044-189548250,Order Revoke Payroll Deduction (Tr 13)
60703650-183936330-189416668,Order Dismissing Case
60703650-183414136-188887068,BNC Certificate of Mailing - Hearing 
60703650-183275539-188745671,Hearing (Document) Sched/Cont/Resched
60703650-183160522-188629386,Response to Motion/Document
60703650-183065265-188532460,Administrative Expenses
60703650-183008820-188475308,BNC Certificate of Mailing
60703650-182923692-188389141,Order on Compensation 13
60703650-182742589-188205015,BNC Certificate of Mailing - Meeting Continued
60703650-182468660-187926802,Notice of Amd/Cnt/Reschd Meeting of Creditors
60703650-182462409-187920509,Meeting of Creditors Continued (Tr 13)
60703650-182155573-187609003,BNC Certificate of Mailing
60703650-181846107-187295755,Order on Compensation 13
60703650-180901851-186337903,Order to Pay Trustee (Tr 13)
60703650-180757522-186191328,Compensation-Ch. 13 ONLY
60703650-180754857-186188596,"DEFICIENT Schedules Filed (Excludes Plan, Credit Counseling)(Ch 13)"
60703650-180754856-186188595,Compensation-Ch. 13 ONLY
60703650-180754854-186188593,Chapter 13 Plan
60703650-179963650-185383776,BNC Certificate of Mailing - Meeting of Creditors
60703650-179963648-185383774,BNC Certificate of Mailing
60703650-179963646-185383772,BNC Certificate of Mailing
60703650-179751965-185165619,Receipt (Auto)
60703650-179673697-185085441,Order on Motion or Application to Pay Filing Fee in Installments
60703650-179673685-185085429,Order of Deficiency
60703650-179639861-185051244,Meeting of Creditors Chapter 13
60703650-179627747-185038966,Clerk's Evidence of Repeat Filings
60703650-179632966-185044228,Notice of Case Change
60703650-179558396-184968457,Voluntary Petition (Chapter 13)
60703650-179558390-184968451,Pay Filing Fee in Installments (Application / Motion)
60703650-179558388-184968449,Certificate of Credit Counseling (Ch 13)
60392521-200618611-206366371,Trustee Payment Under 11 U.S.C. 330(e) Processed
60392521-185664194-191170841,Trustee Services Rendered Pursuant to 330(e)
60392521-183771317-189248999,BNC Certificate of Mailing - Order of Discharge (Auto-Docket)
60392521-183535507-189010107,Discharging Debtor
60392521-183535506-189010106,Final Decree and Close Bankruptcy Case
60392521-179047223-184449142,Certificate of Compliance
60392521-178670704-184067528,Chapter 7 Trustee's Report of No Distribution (Trustee Use Only)
60392521-177756950-183137140,Returned Mail (Auto-Docket)
60392521-176051441-181404808,Financial Management Course
60392521-175948207-181299469,BNC Certificate of Mailing - Meeting of Creditors (Auto-Docket)
60392521-175948191-181299454,BNC Certificate of Mailing - Ntc of Requirement to Complete Financial Mgmt Course (Auto-Docket)
60392521-175948178-181299441,BNC Certificate of Mailing - BK (Auto-Docket)
60392521-175271308-180612734,none
60392521-175267643-180609041,Chapter 7 Voluntary Petition (fee) - case upload
60392521-175267642-180609040,Certificate of Credit Counseling
60392521-175267641-180609039,Disclosure of Compensation of Attorney for Debtor
60392521-175267640-180609038,Statement of Intent
60392521-175267639-180609037,Social Security Number Verification Page
60392521-175267638-180609036,Chapter 7 Statements - Monthly Income (122A-1) / Exemption Presumption of Abuse (122A-1Supp)
60392521-175267637-180609035,Statement Under Penalty of Perjury Re: Payment Advices
60392521-175267634-180609032,Auto Assignment Meeting of Creditors Chapter 7
57716490-321297355-327555456,BNC Certificate of Notice - Order of Discharge
57716490-321297354-327555455,BNC Certificate of Notice - Order 
57716490-320917400-327174361,Reopen Ch. 7 Case
57716490-320917382-327174343,Discharging Debtor
57716490-320917381-327174342,Final Decree
57716490-320840771-327097579,Hearing Held
57716490-317008285-323261360,Reopen Ch. 7 Case (fee)
57716490-315640923-321893043,BNC Certificate of Notice (generic)
57716490-315282179-321533347,Final Decree
57716490-313572281-319822770,BNC Certificate of Notice (generic)
57716490-313475088-319725532,Certification of No Objection
57716490-313475081-319725525,Certification of No Objection
57716490-313247367-319497543,Notice to File Financial Management
57716490-312642405-318892475,BNC Certificate of Notice (generic)
57716490-312642404-318892474,BNC Certificate of Notice (generic)
57716490-307258767-313498727,BNC Certificate of Notice - Meeting of Creditors
57716490-307024944-313264473,Meeting of Creditors - Add Judge all Chapters
6375361-355047783-361547987,Flags Set CASECHECKED
6375361-354915246-361414629,Statement About Your Social Security Numbers
6375361-30323412-32424251,BNC Certificate of Mailing - Order of Discharge
6375361-29976622-32074952,Discharging Debtor(s)
6375361-27063948-29140713,Reaffirmation Agreement w/ Declaration and Cover Sheet
6375361-25284152-27349722,Notice of Appearance and Request for Notice
36976147-159126918-164239936,Tentative Findings of Fact
36976147-154293490-159344583,Order
36976147-160058470-165183923,~Util - Terminate Criminal Case AND Judgment AND ~Util - Dismiss Defendant
36976147-160041161-165166347,Notice of Right to Appeal
36976147-160019734-165144684,Sentencing
36976147-159126924-164239942,Order on Findings and Recommendations on Guilty Plea
36976147-157229725-162325304,Transcript - Unredacted
36976147-155440067-160507594,Letter by Clerk - Transcriber
36976147-155395243-160461864,Petition to Enter Plea of Guilty
36976147-155395241-160461862,Findings and Recommendation on Guilty Plea
36976147-155395232-160461853,Order on Sentencing Schedule
36976147-155387451-160453980,Change of Plea Hearing
36976147-155387448-160453978,Audio File
36976147-154813875-159872807,Order on Motion to Conduct Plea Hearing by Remote Conference
36976147-154804570-159863445,Order Setting Change of Plea Hearing
36976147-154796459-159855200,CARES Act - Remote Pleas
36976147-154703674-159761213,Restricted Hearing Instructions and Order
36976147-154230182-159280347,Detention Hearing AND Arraignment AND Initial Appearance
36976147-154221160-159271257,Arraignment AND Detention Hearing AND Initial Appearance
36976147-154221136-159271233,Audio File
36976147-154210628-159260635,Detention Hearing AND Initial Appearance AND Arraignment
36976147-154086826-159135187,Restricted Hearing Instructions and Order
36976147-153593487-158636116,Indictment
36976147-153593485-158636114,Forepersons Signature Page
36976147-153593483-158636112,Criminal Cover Sheet
34022869-289180715-295399637,BNC Certificate of Service
34022869-288925379-295143915,Close Bankruptcy Case
34022869-284937054-291151331,Receipt Number and Miscellaneous Fee
34022869-267257111-273453474,BNC Certificate of Service
34022869-266933023-273128842,Discharging Debtor(s)
34022869-265542900-271738049,BNC Certificate of Service
34022869-265426808-271621892,Trustee Notice and Motion for 1322 Claim
34022869-262611310-268802450,Trustee Notice and Motion for 1322 Claim
34022869-261787151-267977712,BNC Certificate of Service
34022869-261787150-267977711,BNC Certificate of Service
34022869-261558140-267748521,Notice Re: Financial Management
34022869-261558139-267748520,Notice to File Debtor(s) Certification and Motion for Entry of Discharge
34022869-261547395-267737769,Release of Wages
34022869-240593983-246754228,Pay Wages (batch)
65549810-211152576-217085497,Notice of Voluntary Dismissal
65549810-210966095-216895276,Notice of Appearance
65549810-209619269-215529612,Order Staying Case
65549810-209316522-215220713,Transfer Document
65549810-209316498-215220689,Case Transferred In - District Transfer (Electronic Transfers Only)
65549810-209316477-215220669,Electronic Transfer In
15694234-120620262-125032450,Close Bankruptcy Case (PS)
15694234-119777589-124182519,Chapter 7 Trustee's Report of No Distribution
15694234-101943568-106201954,zDischarge of Debtor and Certificate of Notice (DO NOT USE)
15694234-101478187-105733383,BNC Form Request--Chapter 7 Discharge
15694234-96149412-100364101,BNC Certificate of Notice
15694234-96149411-100364100,BNC Certificate of Notice - PDF Document
15694234-95734784-99946297,oRelief from Stay
15694234-95595020-99805451,Certificate of Service and No Objections
15694234-95595013-99805443,Lodging Proposed Order (Notice of)
15694234-95595004-99805434,Certificate of Service
15694234-92457612-96643950,Relief from Stay (Motion for) (181.00 fee)
15694234-92457605-96643943,Motion for Relief from Stay (Notice of)
15694234-92457599-96643937,Certificate of Service
15694234-92457597-96643935,Auto-Docket of Credit Card Payment
15694234-87063809-91238858,"Amendment to Schedules (A/B,C,G,H,I,J)"
15694234-87047147-91222058,Financial Management Course Certificate
15694234-87047142-91222053,Financial Management Course Certificate
15694234-87017871-91192565,Appearance (Notice of)
15694234-85588303-89750974,Debtor Declaration Re: Electronic Filing
15694234-85396864-89557878,BNC Form Request--341 Notice (ADI)
15694234-84965321-89123339,Meeting of Creditors 7 (No Asset)
15694234-84941675-89099424,1Voluntary Petition (Chapter 7) (335.00 fee)
15694234-84941667-89099415,Credit Counseling Certificate (Include any Debt Repayment Plan)
15694234-84941662-89099411,Credit Counseling Certificate (Include any Debt Repayment Plan)
15694234-84941649-89099397,Declaration of Evidence of Employer Payments
15694234-84941492-89099240,Auto-Docket of Credit Card Payment
13372744-303330142-309564764,Order Dismissing Case
13372744-303089274-309323572,Stipulation Of Dismissal
8261596-44888360-50916408,Declaration of Nathaniel K. Charny in support of Request to Enter Default
7510264-355785494-362299872,Trustee's Supplemental Intent to Pay Claims
7510264-340765256-347087376,Chapter 13 Trustee's Report of Receipts and Disbursements
7510264-340309946-346630926,Notice of Mortgage Payment Change (No Proof of Claim Filed)
7510264-338108781-344419725,Notice Appointing Successor Trustee (Batch)
7510264-337767810-344078080,Notice Appointing Successor Trustee (Batch)
7510264-326091756-332353147,Notice of Mortgage Payment Change
7510264-323836779-330097426,Notice of Substitution of Attorney
7510264-313215858-319466033,Notice of Order Confirming Chapter 13 Plan
