unique_id,text,model,input_tokens,output_tokens,gpt_pred_sup,flp_sup
8340311-47780933-50070768,"ORDER OF DISMISSAL re 15 Joint MOTION for Settlement Agreement. Settlement and Release Agreement attached to the parties' motion as Exhibit A is hereby APPROVED. This cause is DISMISSED, with prejudice and without taxation of costs. In the event settlement is not consummated for any reason, the Court reserves the power, upon motion filed by any party within 60 days after date, to amend, alter or vacate and set aside this order of dismissal. Signed by SENIOR JUDGE ROGER VINSON on 10/30/2018. (MB) (Entered: 10/30/2018)",gpt-4o-mini-2024-07-18,435,2,Order,Order
8340311-53298414-57329799,ACTION REQUIRED BY DISTRICT JUDGE: Chambers of SENIOR JUDGE ROGER VINSON notified that action is needed Re: 15 Joint MOTION for Settlement Agreement. (sdw),gpt-4o-mini-2024-07-18,346,4,Request / Motion,Request / Motion
8340311-47780922-50666213,"Joint MOTION for Settlement Agreement by AMBER MERRITT. (Attachments: # 1 Exhibit Settlement Agreement) (TALBOTT, JEREMIAH) (Entered: 10/29/2018)",gpt-4o-mini-2024-07-18,353,4,Request / Motion,Request / Motion
8340311-47780909-50070744,"ORDER. The defendant's motion to compel (doc. 7 ) is hereby GRANTED, and this action is DISMISSED without prejudice. The clerk is directed to close this case and the parties shall arbitrate their dispute consistent with the terms of the arbitration agreement that the plaintiff agreed to be bound by. Signed by SENIOR JUDGE ROGER VINSON on 1/30/2018. (sdw) (Entered: 01/30/2018)",gpt-4o-mini-2024-07-18,404,2,Order,Order
8340311-53298413-57329798,ACTION REQUIRED BY DISTRICT JUDGE: Chambers of SENIOR JUDGE ROGER VINSON notified that action is needed Re: 13 Reply to Response to Motion. (sdw),gpt-4o-mini-2024-07-18,345,3,Minute Entry,Notice
8340311-47780896-50070731,"REPLY to Response to Motion re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by PRUITTHEALTH, INC.. (ANDREWS, GARY) (Entered: 01/05/2018)",gpt-4o-mini-2024-07-18,365,4,Reply / Response,Reply / Response
8340311-47780883-50070718,ORDER granting 11 MOTION for Leave to File Reply in support. (Reply due by 1/5/2018.) Signed by SENIOR JUDGE ROGER VINSON on 12/27/2017. (sdw) (Entered: 12/27/2017),gpt-4o-mini-2024-07-18,368,2,Order,Order
8340311-53298412-57329797,"ACTION REQUIRED BY DISTRICT JUDGE: Chambers of SENIOR JUDGE ROGER VINSON notified that action is needed Re: 11 PRUITTHEALTH'S MOTION for Leave to File Reply in support of 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action, by PRUITTHEALTH, INC. (please see proposed R&O). (MB)",gpt-4o-mini-2024-07-18,392,4,Request / Motion,Request / Motion
8340311-47780871-50070706,"PRUITTHEALTH'S MOTION for Leave to File Reply in support of 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action, by PRUITTHEALTH, INC.. (ANDREWS, GARY) (Entered: 12/21/2017)",gpt-4o-mini-2024-07-18,373,4,Request / Motion,Request / Motion
8340311-53298411-57329796,"ACTION REQUIRED BY DISTRICT JUDGE: Chambers of SENIOR JUDGE ROGER VINSON notified that action is needed Re: 10 RESPONSE in Opposition re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by AMBER MERRITT. (Attachments: # 1 Exhibit DRP, # 2 Exhibit Declaration of Amber Merritt, # 3 Exhibit Declaration of Brian Pollock, # 4 Exhibit AAA Fee Schedule, # 5 Exhibit Declaration of Travis Lepicier). (MB)",gpt-4o-mini-2024-07-18,422,4,Request / Motion,Request / Motion
8340311-47780857-50408194,"RESPONSE in Opposition re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by AMBER MERRITT. (Attachments: # 1 Exhibit DRP, # 2 Exhibit Declaration of Amber Merritt, # 3 Exhibit Declaration of Brian Pollock, # 4 Exhibit AAA Fee Schedule, # 5 Exhibit Declaration of Travis Lepicier) (TALBOTT, JEREMIAH) (Entered: 12/20/2017)",gpt-4o-mini-2024-07-18,415,4,Reply / Response,Reply / Response
8340311-47780857-50408183,"RESPONSE in Opposition re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by AMBER MERRITT. (Attachments: # 1 Exhibit DRP, # 2 Exhibit Declaration of Amber Merritt, # 3 Exhibit Declaration of Brian Pollock, # 4 Exhibit AAA Fee Schedule, # 5 Exhibit Declaration of Travis Lepicier) (TALBOTT, JEREMIAH) (Entered: 12/20/2017)",gpt-4o-mini-2024-07-18,415,4,Reply / Response,Reply / Response
8340311-47780857-50408171,"RESPONSE in Opposition re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by AMBER MERRITT. (Attachments: # 1 Exhibit DRP, # 2 Exhibit Declaration of Amber Merritt, # 3 Exhibit Declaration of Brian Pollock, # 4 Exhibit AAA Fee Schedule, # 5 Exhibit Declaration of Travis Lepicier) (TALBOTT, JEREMIAH) (Entered: 12/20/2017)",gpt-4o-mini-2024-07-18,415,4,Reply / Response,Reply / Response
8340311-47780857-50408162,"RESPONSE in Opposition re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by AMBER MERRITT. (Attachments: # 1 Exhibit DRP, # 2 Exhibit Declaration of Amber Merritt, # 3 Exhibit Declaration of Brian Pollock, # 4 Exhibit AAA Fee Schedule, # 5 Exhibit Declaration of Travis Lepicier) (TALBOTT, JEREMIAH) (Entered: 12/20/2017)",gpt-4o-mini-2024-07-18,415,4,Reply / Response,Reply / Response
8340311-47780857-50408156,"RESPONSE in Opposition re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action filed by AMBER MERRITT. (Attachments: # 1 Exhibit DRP, # 2 Exhibit Declaration of Amber Merritt, # 3 Exhibit Declaration of Brian Pollock, # 4 Exhibit AAA Fee Schedule, # 5 Exhibit Declaration of Travis Lepicier) (TALBOTT, JEREMIAH) (Entered: 12/20/2017)",gpt-4o-mini-2024-07-18,415,4,Reply / Response,Reply / Response
8340311-47780843-50070678,ORDER granting 8 MOTION to Extend Time to File Response. Signed by SENIOR JUDGE ROGER VINSON on 12/07/2017. (Internal deadline for referral to judge if response not filed by 12/20/2017).) (MB) (Entered: 12/07/2017),gpt-4o-mini-2024-07-18,375,2,Order,Order
8340311-53298410-57329795,"ACTION REQUIRED BY DISTRICT JUDGE: Chambers of SENIOR JUDGE ROGER VINSON notified that action is needed Re: 8 MOTION to Extend Timen to File Response to Defendant's Motion to Compel Arbitration and Dismiss with Prejudice or, in the Alternative, Stay this Action. (sdw)",gpt-4o-mini-2024-07-18,372,4,Request / Motion,Request / Motion
8340311-47780827-50070662,"MOTION to Extend Timeto File Response to Defendant's Motion to Compel Arbitration and Dismiss with Prejudice or, in the Alternative, Stay this Action by AMBER MERRITT. (TALBOTT, JEREMIAH) (Entered: 12/06/2017)",gpt-4o-mini-2024-07-18,368,4,Request / Motion,Request / Motion
8340311-53298409-57329794,"Set Deadlines re 7 MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action. (Internal deadline for referral to judge if response not filed earlier: 12/6/2017.) (sdw)",gpt-4o-mini-2024-07-18,360,4,Request / Motion,Request / Motion
8340311-47780813-50070648,"MOTION to Compel Arbitration and Dismiss with Prejudice or, in the alternative, Stay this Action by PRUITTHEALTH, INC.. (Attachments: # 1 Memorandum of Law in Support of Motion, # 2 Exhibit A - Declaration of Brandon Dhande, # 3 Exhibit 1- Signed Dispute Resolution Acknowledgment Form, # 4 Exhibit 2 - Dispute Resolution Policy, # 5 Exhibit 3 - Discipline 4 - Termination) (ANDREWS, GARY) (Entered: 11/22/2017)",gpt-4o-mini-2024-07-18,424,4,Request / Motion,Request / Motion
8340311-47780800-50070635,"ORDER granting 5 Motion to Appear Pro Hac Vice by Gary Blaylock Andrews, Jr. Signed by SENIOR JUDGE ROGER VINSON on 11/21/2017. (sdw) (Entered: 11/21/2017)",gpt-4o-mini-2024-07-18,363,2,Order,Order
8340311-53298408-57329793,"ACTION REQUIRED BY DISTRICT JUDGE: Chambers of SENIOR JUDGE ROGER VINSON notified that action is needed Re: 5 MOTION to Appear Pro Hac Vice by Gary Blaylock Andrews, Jr..( Filing fee $ 201 receipt number AFLNDC-4027777.) (alb)",gpt-4o-mini-2024-07-18,372,4,Request / Motion,Request / Motion
8340311-47780787-50070622,"MOTION to Appear Pro Hac Vice by Gary Blaylock Andrews, Jr..( Filing fee $ 201 receipt number AFLNDC-4027777.) by PRUITTHEALTH, INC.. (Attachments: # 1 Exhibit 1 Certificate of Good Standing) (ANDREWS, GARY) (Entered: 11/16/2017)",gpt-4o-mini-2024-07-18,382,4,Request / Motion,Request / Motion
8340311-47780773-50070608,"SUMMONS Returned Executed by AMBER MERRITT. PRUITTHEALTH, INC. served on 11/3/2017, answer due 11/24/2017. (TALBOTT, JEREMIAH) (Entered: 11/10/2017)",gpt-4o-mini-2024-07-18,370,3,Summon,Summon
8340311-47780761-50070596,"Summons Issued as to PRUITTHEALTH, INC. (sdw) (Entered: 11/01/2017)",gpt-4o-mini-2024-07-18,335,3,Summon,Summon
8340311-47780751-50070586,"CIVIL COVER SHEET. (TALBOTT, JEREMIAH) (Entered: 10/31/2017)",gpt-4o-mini-2024-07-18,337,4,Civil Cover Sheet,Civil Cover Sheet
8340311-47780741-50132250,"COMPLAINT against PRUITTHEALTH, INC. ( Filing fee $ 400 receipt number AFLNDC-4014425.), filed by AMBER MERRITT. (Attachments: # 1 Supplement Summons) (TALBOTT, JEREMIAH) (Entered: 10/31/2017)",gpt-4o-mini-2024-07-18,375,2,Complaint,Complaint
8508304-54041366-58076340,"Random Assignment of Magistrate Judge pursuant to Local Criminal Rule 57.9. In the event of a referral, case will be assigned to Magistrate Judge David A. Ruiz. (W,CM)",gpt-4o-mini-2024-07-18,348,2,Other,Notice
8508304-54041365-58076339,"Indictment filed by USA as to Rowland L. Babb (1) count(s) 1. (Attachments: # 1 Designation Form and Signature Page) (W,CM) (Entered: 01/17/2019)",gpt-4o-mini-2024-07-18,359,4,Indictment,Indictment
15090134-65637767-69776608,"Bankruptcy Case Closed and Trustee Discharged . (Ramey, Dorothy) (Entered: 05/22/2008)",gpt-4o-mini-2024-07-18,334,2,Other,Other
15090134-65637703-69776545,"Chapter 13 Final Report and Account (Stearns, Glenn) (Entered: 05/21/2008)",gpt-4o-mini-2024-07-18,331,2,Other,Other
15090134-65637637-69776478,BNC Certificate of Service - Order of Discharge. (RE: 28 Request for Discharge Order). No. of Notices: 12. Service Date 03/09/2008. (Admin.) (Entered: 03/10/2008),gpt-4o-mini-2024-07-18,361,2,Other,Other
15090134-65637567-69776406,"Request for Discharge Order . (Chavez, Baldo) (Entered: 03/07/2008)",gpt-4o-mini-2024-07-18,331,4,Request / Motion,Request / Motion
15090134-65637516-69776355,"Notice of Completion of Plan Payments (Stearns, Glenn) (Entered: 03/06/2008)",gpt-4o-mini-2024-07-18,330,2,Notice,Notice
15090134-65637457-69776298,BNC Certificate of Service - Notice to Assignor of Assignment of Claim (RE: 25 Transfer of Claim). No. of Notices: 3. Service Date 06/06/2007. (Admin.) (Entered: 06/06/2007),gpt-4o-mini-2024-07-18,362,2,Notice,Other
15090134-65637391-69776231,"Transfer of Claim. Transferor: B-First LLC (Claim No. 3, Amount 14,825.56) To Roundup Funding, LLC.. Filed by Roundup Funding, LLC. Objections due by 6/25/2007. (Tran, Linh) (Entered: 06/02/2007)",gpt-4o-mini-2024-07-18,377,2,Other,Notice
15090134-65637331-69776172,BNC Certificate of Service - Notice to Assignor of Assignment of Claim (RE: 23 Transfer of Claim). No. of Notices: 3. Service Date 05/03/2007. (Admin.) (Entered: 05/03/2007),gpt-4o-mini-2024-07-18,362,2,Notice,Other
15090134-65637271-69776113,"Transfer of Claim. Transferor: B-First LLC (Claim No. 1, Amount 3,883.18) To ROUNDUP FUNDING, L.L.C.. Filed by Roundup Funding, LLC. Objections due by 5/21/2007. (Tran, Linh) (Entered: 04/30/2007)",gpt-4o-mini-2024-07-18,380,2,Other,Notice
15090134-65637200-69776039,"Change of Address for Resurgence Financial LLC To: 4100 Commercial Avenue Northbrook, Illinois 60062 Filed by Resurgence Financial, LLC . (Chavez, Baldo) (Entered: 08/23/2005)",gpt-4o-mini-2024-07-18,355,2,Other,Other
15090134-65637145-69775986,BNC Certificate of Mailing - Notice to Assignor of Assignment of Claim (RE: 20 Transfer of Claim). No. of Notices: 5. Service Date 06/30/2005. (Admin.) (Entered: 07/01/2005),gpt-4o-mini-2024-07-18,362,2,Notice,Other
15090134-65637082-69775923,"Joint Transfer of Claim. Transferor: B-LINE, LLC/ COLLECT AMERICA (Claim No.3, Amount 14825.56) To B-FIRST, LLC Filed by B-First, LLC. Objections due by 7/18/2005. (Ralston, Richard) (Entered: 06/27/2005)",gpt-4o-mini-2024-07-18,380,2,Other,Notice
15090134-65637017-69775858,BNC Certificate of Mailing - Notice to Assignor of Assignment of Claim (RE: 18 Transfer of Claim). No. of Notices: 5. Service Date 05/14/2005. (Admin.) (Entered: 05/15/2005),gpt-4o-mini-2024-07-18,362,2,Notice,Other
15090134-65636939-69775781,"Joint Transfer of Claim. Transferor: Chase Manhattan Bank as successor to Bank One (Claim No.1, Amount 3883.18) To B-First, LLC Filed by B-First, LLC. Objections due by 5/31/2005. (Ralston, Richard) (Entered: 05/10/2005)",gpt-4o-mini-2024-07-18,379,2,Other,Notice
15090134-65636876-69775716,"Order of Compensation for Andrew B Nelson, Debtor's Attorney, Fees awarded: $2700.00, Expenses awarded: $0.00; Awarded on 12/8/2004 (RE: 11 Compensation for Chapter 13 Debtor's Attorney). Signed on 12/3/2004 (Beckerman, Steve) (Entered: 12/08/2004)",gpt-4o-mini-2024-07-18,389,2,Order,Order
15090134-65636815-69775657,"Order Confirming Chapter 13 Plan (RE: 12 Amended Chapter 13 Plan). Signed on 12/3/2004 (Beckerman, Steve) (Entered: 12/08/2004)",gpt-4o-mini-2024-07-18,353,2,Order,Order
15090134-65636750-69775591,BNC Certificate of Mailing - PDF Document. (RE: 12 Amended Chapter 13 Plan). No. of Notices: 13. Service Date 11/19/2004. (Admin.) (Entered: 11/20/2004),gpt-4o-mini-2024-07-18,360,2,Other,Other
15090134-65636689-69775527,"Notice of Filing Filed by Wilson, W Alexander on behalf of Terrence Francis Noble (RE: 12 Amended Chapter 13 Plan, 13 Amended Schedules (No Fee)). (Hamilton, Annette) (Entered: 11/17/2004)",gpt-4o-mini-2024-07-18,362,2,Notice,Notice
15090134-65636624-69775466,"Amended Schedules. : J Filed by Wilson, W Alexander on behalf of Terrence Francis Noble . (Hamilton, Annette) (Entered: 11/17/2004)",gpt-4o-mini-2024-07-18,345,2,Other,Other
15090134-65636556-69775397,"Amended Chapter 13 Plan Filed by Wilson, W Alexander on behalf of Terrence Francis Noble . (Hamilton, Annette) (Entered: 11/17/2004)",gpt-4o-mini-2024-07-18,344,2,Other,Other
15090134-65636484-69775326,"Model Retention Agreement Filed by Andrew B Nelson on behalf of Terrence Francis Noble . (Chavez, Baldo) (Entered: 11/09/2004)",gpt-4o-mini-2024-07-18,342,2,Other,Other
15090134-65636426-69775267,"Application for Chapter 13 Compensation for Andrew B Nelson, Debtor's Attorney, Fee: $2700.00, Expenses: $0.00. Filed by Andrew B Nelson . (Attachments: 1 Proposed Order) (Epps, Wanda) (Entered: 11/12/2004)",gpt-4o-mini-2024-07-18,369,2,Other,Request / Motion
15090134-65636360-69775202,"Order for Payroll Control . Signed on 10/29/2004 (Beckerman, Steve) (Entered: 11/01/2004)",gpt-4o-mini-2024-07-18,339,2,Order,Order
15090134-65636293-69775134,BNC Certificate of Mailing - PDF Document. (RE: 4 Chapter 13 Plan). No. of Notices: 12. Service Date 10/14/2004. (Admin.) (Entered: 10/15/2004),gpt-4o-mini-2024-07-18,358,2,Other,Other
15090134-65636231-69775072,BNC Certificate of Mailing - Meeting of Creditors. (RE: 5 Request for Chapter 13 341 Meeting of Creditors). No. of Notices: 11. Service Date 10/14/2004. (Admin.) (Entered: 10/15/2004),gpt-4o-mini-2024-07-18,367,2,Other,Other
15090134-65636177-69775018,"Request for Chapter 13 341 Meeting of Creditors . (Baumgart, Kara) (Entered: 10/12/2004)",gpt-4o-mini-2024-07-18,337,2,Other,Request / Motion
15090134-65636120-69774960,"Statement of Social Security Number(s) Filed by Andrew B Nelson on behalf of Terrence Francis Noble . (Agnello, Joseph) (Entered: 10/13/2004)",gpt-4o-mini-2024-07-18,345,2,Other,Other
15090134-65636054-69774895,"Chapter 13 Plan Filed by Andrew B Nelson on behalf of Terrence Francis Noble . (Brennan, Kelly) (Entered: 10/12/2004)",gpt-4o-mini-2024-07-18,342,2,Other,Other
15090134-65635992-69774833,Receipt of Chapter 13 Filing Fee - $194.00 by DO. Receipt Number 03105247. Payment received from Geraci. (Entered: 10/12/2004),gpt-4o-mini-2024-07-18,346,2,Other,Other
15090134-65635931-69774772,"First Meeting of Creditors with 341(a) meeting to be held on 11/11/2004 at 11:30 AM at DuPage Bar Association, 126 S County Farm Road, Wheaton, Illinois 60187. Confirmation hearing to be held on 12/03/2004 at 11:30 AM at DuPage Courthouse, 505 N County Farm Road, Rm 2000, Wheaton, Illinois 60187. Proof of Claim due by 02/09/2005. (Sirmons, Dornesa) (Entered: 10/08/2004)",gpt-4o-mini-2024-07-18,434,2,Other,Other
15090134-65635879-69774721,"Chapter 13 Voluntary Petition Filed by Andrew B Nelson on behalf of Terrence Francis Noble Government Proof of Claim due by 4/6/2005. (Sirmons, Dornesa) Additional attachment(s) added on 10/12/2004 (Brennan, Kelly). (Entered: 10/08/2004)",gpt-4o-mini-2024-07-18,378,3,Petition,Petition
15112040-66511406-70651277,"Bankruptcy Case Closed and Trustee Discharged . (Hatch-Edwards, Lashanda) (Entered: 08/06/2008)",gpt-4o-mini-2024-07-18,337,2,Other,Other
15112040-66511403-70651274,"Chapter 13 Final Report and Account (Marshall, Marilyn) (Entered: 08/05/2008)",gpt-4o-mini-2024-07-18,330,2,Other,Other
15112040-66511401-70651271,BNC Certificate of Service - Notice of Dismissal (RE: 62 Order on Motion Dismiss Case for Failure to Make Plan Payments). No. of Notices: 16. Service Date 06/27/2008. (Admin.) (Entered: 06/28/2008),gpt-4o-mini-2024-07-18,368,2,Notice,Other
15112040-66511398-70651269,"Order Granting Motion to Dismiss Case for Failure to Make Plan Payments (Related Doc # 58). Signed on 6/25/2008. (O'Day, Sean) (Entered: 06/25/2008)",gpt-4o-mini-2024-07-18,356,2,Order,Order
15112040-66511396-70651266,"Hearing Continued (RE: 58 ). Hearing Scheduled for 06/25/2008 at 11:00 AM at Courtroom 680 219 South Dearborn, Chicago, IL, 60604. (Smith,Lester) (Entered: 05/28/2008)",gpt-4o-mini-2024-07-18,367,3,Minute Entry,Minute Entry
15112040-66511392-70651263,"Hearing Continued (RE: 58 ). Hearing Scheduled for 05/28/2008 at 11:00 AM at Courtroom 680 219 South Dearborn, Chicago, IL, 60604. (Smith,Lester) (Entered: 04/16/2008)",gpt-4o-mini-2024-07-18,367,3,Minute Entry,Minute Entry
15112040-66511388-70651259,"Hearing Continued (RE: 58 ). Hearing Scheduled for 04/16/2008 at 11:00 AM at Courtroom 680 219 South Dearborn, Chicago, IL, 60604. (Smith,Lester) (Entered: 03/19/2008)",gpt-4o-mini-2024-07-18,367,3,Minute Entry,Minute Entry
15112040-66511385-70651256,"Notice of Motion and Motion to Dismiss Case for Failure to Make Plan Payments Filed by Marilyn O Marshall Hearing scheduled for 3/19/2008 at 09:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Attachments: 1 Proposed Order) (Marshall, Marilyn) (Entered: 03/05/2008)",gpt-4o-mini-2024-07-18,386,2,Multiple,Notice
15112040-66511382-70651253,"(E)Order Withdrawing Motion for Relief from Stay (Related Doc # 55). Signed on 02/13/2008. (Beckerman, Steve) (Entered: 02/13/2008)",gpt-4o-mini-2024-07-18,352,2,Order,Order
15112040-66511380-70651251,"Receipt of Motion for Relief Stay(07-11206) [motion,mrlfsty] ( 150.00) Filing Fee. Receipt number 8264510. Fee Amount $ 150.00 (U.S. Treasury) (Entered: 02/04/2008)",gpt-4o-mini-2024-07-18,366,4,Request / Motion,Other
15112040-66511377-70651249,"Notice of Motion and Motion for Relief from Stay as to 14327 S. Eggleston, Riverdale, IL 60827. Fee Amount $150, Filed by James E. Trausch on behalf of Homeq Servicing Corporation. Hearing scheduled for 2/13/2008 at 09:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Attachments: 1 Statement Accompanying Relief From Stay 2 Proposed Order) (Trausch, James) (Entered: 02/04/2008)",gpt-4o-mini-2024-07-18,425,4,Request / Motion,Notice
15112040-66511374-70651245,"CORRECTIVE ENTRY to correct expense request to $0.00 (RE: 53 Order on Application for Compensation, ). (Poindexter, Haley) (Entered: 10/19/2007)",gpt-4o-mini-2024-07-18,350,2,Other,Errata
15112040-66511369-70651241,"Order Granting Application For Compensation (Related Doc # 52). Dollie I Warren-Reed, fees awarded: $3000.00, expenses awarded: $250.00. Signed on 10/17/2007. (Hatch-Edwards, Lashanda) Modified on 10/19/2007 to correct expense request to $0.00(Poindexter, Haley). (Entered: 10/18/2007)",gpt-4o-mini-2024-07-18,400,2,Order,Order
15112040-66511365-70651236,"Order Confirming Chapter 13 Plan (RE: 46 Modified Chapter 13 Plan). Signed on 10/17/2007 (Hatch-Edwards, Lashanda) (Entered: 10/18/2007)",gpt-4o-mini-2024-07-18,355,2,Order,Order
15112040-66511361-70651232,"Request for Service of Notices. New Falls Corporation, 100 N Center Street, Newton Falls, OH 44444 Filed by New Falls Corporation. (Young, Megan) (Entered: 10/15/2007)",gpt-4o-mini-2024-07-18,352,2,Other,Request / Motion
15112040-66511356-70651227,BNC Certificate of Service - PDF Document. (RE: 46 Modified Chapter 13 Plan). No. of Notices: 33. Service Date 09/28/2007. (Admin.) (Entered: 09/29/2007),gpt-4o-mini-2024-07-18,359,2,Other,Other
15112040-66511353-70651224,"Confirmation Hearing Continued . Confirmation hearing to be held on 10/17/2007 at 10:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Green, Josephine) (Entered: 09/26/2007)",gpt-4o-mini-2024-07-18,366,2,Other,Other
15112040-66511348-70651219,"Hearing Continued (RE: 35 Application for Compensation, ). Hearing scheduled for 10/17/2007 at 10:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Green, Josephine) (Entered: 09/26/2007)",gpt-4o-mini-2024-07-18,372,3,Minute Entry,Minute Entry
15112040-66511342-70651214,"Modified Chapter 13 Plan Filed by Dollie I Warren-Reed on behalf of Janice Beatrice Womack. (Warren-Reed, Dollie) (Entered: 09/25/2007)",gpt-4o-mini-2024-07-18,351,2,Other,Other
15112040-66511337-70651208,BNC Certificate of Service - PDF Document. (RE: 44 Modified Chapter 13 Plan). No. of Notices: 33. Service Date 09/16/2007. (Admin.) (Entered: 09/16/2007),gpt-4o-mini-2024-07-18,359,2,Other,Other
15112040-66511332-70651203,"Modified Chapter 13 Plan Filed by Dollie I Warren-Reed on behalf of Janice Beatrice Womack. (Warren-Reed, Dollie) (Entered: 09/13/2007)",gpt-4o-mini-2024-07-18,351,2,Other,Other
15112040-66511326-70651197,"Confirmation Hearing Continued Confirmation hearing to be held on 9/26/2007 at 10:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Beckerman, Steve) (Entered: 09/12/2007)",gpt-4o-mini-2024-07-18,366,2,Other,Other
15112040-66511322-70651193,"Hearing Continued (RE: 35 Application for Compensation, ). Hearing scheduled for 9/26/2007 at 10:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Beckerman, Steve) (Entered: 09/12/2007)",gpt-4o-mini-2024-07-18,373,3,Minute Entry,Minute Entry
15112040-66511316-70651188,BNC Certificate of Service - Notice to Assignor of Assignment of Claim (RE: 40 Transfer of Claim). No. of Notices: 4. Service Date 09/01/2007. (Admin.) (Entered: 09/01/2007),gpt-4o-mini-2024-07-18,362,2,Notice,Other
15112040-66511312-70651183,"Transfer of Claim. Transferor: FIA Card Services N.A. as Successor in interest to (Claim No. 4, Amount 2989.54) To eCAST Settlement Corporation. Filed by Ecast Settlement Corporation. Objections due by 9/19/2007. (Becket, Alane) (Entered: 08/29/2007)",gpt-4o-mini-2024-07-18,383,2,Other,Notice
15112040-66511307-70651179,"Hearing Continued (RE: 35 Application for Compensation). Hearing scheduled for 9/12/2007 at 10:30 AM at 219 South Dearborn, Courtroom 680, Chicago, Illinois 60604. (Green, Josephine) (Entered: 08/22/2007)",gpt-4o-mini-2024-07-18,371,3,Minute Entry,Minute Entry
